bag,condition,objective,arm_label,n_candidates,pearson_r,p_value,slope_beta_h,intercept,stderr
structural,Pooled,o_max,Max O-info,560,0.7282296934358939,1.2549982150370534e-93,0.010187034343531623,0.24156761602632715,0.00040584857091387764
structural,Pooled,o_min,Min O-info,560,0.04209394858030767,0.32005755574871964,0.0005002508938939369,0.24746841584796256,0.0005026503659469938
structural,CN->CN,o_max,Max O-info,560,0.4905437859222717,3.0292402194191807e-35,0.0030884369078127798,0.21537945403129022,0.00023225745177857918
structural,CN->CN,o_min,Min O-info,399,-0.30586373448535675,4.357867899195988e-10,-0.01677059041909175,0.21188481015175264,0.0026199705542769435
structural,AD->AD,o_max,Max O-info,560,-0.037447832268980415,0.37642225485055925,-0.0008193703081480246,0.1653622234482527,0.0009256178301511734
structural,AD->AD,o_min,Min O-info,79,0.12566932601933625,0.2697877522044531,0.013245852149001348,0.1471563512002853,0.01191649480636768
structural,AD->FTD,o_max,Max O-info,560,0.08053954944997703,0.05681255961799414,0.005059935311738579,0.24668471561698674,0.002650974375259912
structural,AD->FTD,o_min,Min O-info,560,0.5522681875652729,4.9918656353389575e-46,0.02792775884699824,0.2260156490746663,0.0017846839345537267
structural,FTD->FTD,o_max,Max O-info,247,-0.0744449967786199,0.24374452557368592,-0.040253264298441345,0.265578562247741,0.034448931622550326
structural,FTD->FTD,o_min,Min O-info,560,0.6041769720075644,5.177329360072243e-57,0.01796211464502199,0.2620186546851987,0.0010028889899464097
structural,FTD->AD,o_min,Min O-info,547,0.36757782052894233,6.089999012362767e-19,0.024626207850205886,0.10214131121874165,0.0026688831625561273
structural,AD+FTD->AD,o_max,Max O-info,560,0.021799521187771422,0.6067072377255003,0.00026588755210504806,0.17504259556118446,0.0005162151361014601
structural,AD+FTD->AD,o_min,Min O-info,64,0.20727214256240417,0.1003009238471538,0.020348520945102592,0.13178017649774115,0.01219721603104371
structural,AD+FTD->FTD,o_max,Max O-info,275,-0.08173454358516068,0.17653453267763725,-0.04667996441405205,0.2843336153361254,0.03444990461719631
structural,AD+FTD->FTD,o_min,Min O-info,560,0.5491494059269515,1.9865532106060024e-45,0.01404347279240774,0.29003887483841984,0.0009047526736153838
