condition,objective,rung_id,candidate_id,order,r2,shannon_h,n_domains,dominant_domain
Pooled,o_min,xgb_tree_d3,m070525_o_min_ord26_rk00011,26,0.47906894550828594,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070530_o_min_ord26_rk00016,26,0.47599080275426653,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070529_o_min_ord26_rk00015,26,0.47399802218251863,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070519_o_min_ord26_rk00005,26,0.46820371902562774,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m049528_o_min_ord5_rk00014,5,0.46762988264523697,1.5219280948873621,3,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m051533_o_min_ord7_rk00019,7,0.46653715688393727,1.8423709931771086,4,Democracy
Pooled,o_min,xgb_tree_d3,m070523_o_min_ord26_rk00009,26,0.4660085917643919,2.8252517372886508,9,Democracy
Pooled,o_min,xgb_tree_d3,m070527_o_min_ord26_rk00013,26,0.4654703677754852,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070517_o_min_ord26_rk00003,26,0.46527111983378533,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m069525_o_min_ord25_rk00011,25,0.4650145908120664,2.8676013115120567,9,Democracy
Pooled,o_min,xgb_tree_d3,m047521_o_min_ord3_rk00007,3,0.4643457454344351,0.9182958340544896,2,Democracy
Pooled,o_min,xgb_tree_d3,m070521_o_min_ord26_rk00007,26,0.4634519489302974,2.8252517372886508,9,Democracy
Pooled,o_min,xgb_tree_d3,m070515_o_min_ord26_rk00001,26,0.46325708591438675,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070534_o_min_ord26_rk00020,26,0.4629946305274978,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m070516_o_min_ord26_rk00002,26,0.46243390490364544,2.8536700092563416,9,Democracy
Pooled,o_min,xgb_tree_d3,m069527_o_min_ord25_rk00013,25,0.46239524148296196,2.8676013115120567,9,Democracy
Pooled,o_min,xgb_tree_d3,m065526_o_min_ord21_rk00012,21,0.46205840544844423,2.7179717342678,8,Democracy
Pooled,o_min,xgb_tree_d3,m069523_o_min_ord25_rk00009,25,0.46193594576110697,2.8676013115120567,9,Democracy
Pooled,o_min,xgb_tree_d3,m070520_o_min_ord26_rk00006,26,0.4618961247402884,2.8252517372886508,9,Democracy
Pooled,o_min,xgb_tree_d3,m069516_o_min_ord25_rk00002,25,0.46168678772938276,2.8676013115120567,9,Democracy
Pooled,o_min,xgb_tree_d3,m069521_o_min_ord25_rk00007,25,0.46147268358585813,2.8888840705376357,9,Democracy
Pooled,o_min,xgb_tree_d3,m071526_o_min_ord27_rk00012,27,0.4611099403578116,2.815460540067162,9,Democracy
Pooled,o_min,xgb_tree_d3,m066521_o_min_ord22_rk00007,22,0.4608604800365944,2.9317206879810787,9,Democracy
Pooled,o_min,xgb_tree_d3,m067533_o_min_ord23_rk00019,23,0.4603448020540062,2.9424955222917832,9,Democracy
Pooled,o_min,xgb_tree_d3,m071524_o_min_ord27_rk00010,27,0.46027127508581356,2.815460540067162,9,Democracy
Pooled,o_min,xgb_tree_d3,m051515_o_min_ord7_rk00001,7,0.4602074769231608,2.2359263506290326,5,Precipitation/droughts
Pooled,o_min,xgb_tree_d3,m067527_o_min_ord23_rk00013,23,0.4600779278869028,2.7837353286220776,9,Democracy
Pooled,o_min,xgb_tree_d3,m065531_o_min_ord21_rk00017,21,0.46005207790571,2.9463875191311275,9,Democracy
