bag,condition,objective,arm_label,n_candidates,pearson_r,p_value,slope_beta_h,intercept,stderr
functional,Pooled,o_max,Max O-info,560,0.10486466152784057,0.013033422877004788,0.003750240829436026,0.4261858567617665,0.0015056075773050269
functional,Pooled,o_min,Min O-info,560,0.5184172213045497,7.673280165977225e-40,0.014593460142385594,0.40628636838190235,0.0010190436600572143
functional,CN->CN,o_max,Max O-info,430,-0.7792122845679745,7.129022304657287e-89,-0.17756060545703467,0.39747080915085303,0.006903515099693402
functional,CN->CN,o_min,Min O-info,560,0.5443225463292316,1.637225051234731e-44,0.018962739814027445,0.3805614131007884,0.0012371587740164693
functional,AD->AD,o_max,Max O-info,205,-0.06932381833743563,0.3233066774168545,-0.13557330059179581,0.3507356265643657,0.1369296804713612
functional,AD->AD,o_min,Min O-info,99,-0.585036303071422,2.0303961009724697e-10,-0.15347802974001767,0.5660736525680095,0.021602409332108434
functional,AD->FTD,o_max,Max O-info,546,0.31626132587252825,3.786053518110888e-14,0.03419096713596242,0.22622661600006014,0.004397258344292287
functional,AD->FTD,o_min,Min O-info,557,-0.09777031005388444,0.021009712912061874,-0.010879746779716079,0.2806524711004118,0.004700884720472196
functional,FTD->FTD,o_max,Max O-info,258,-0.18057969420961997,0.0036094461747931193,-0.24721777648890672,0.340874803655577,0.08415730424984731
functional,FTD->FTD,o_min,Min O-info,86,-0.5166079224549467,3.545503389342712e-07,-0.10427745899764339,0.49532795326055495,0.018857154491858045
functional,FTD->AD,o_max,Max O-info,469,0.12232532081200682,0.008001083209405662,0.008270148128515172,0.15803564399383863,0.003105021772741353
functional,FTD->AD,o_min,Min O-info,66,-0.10059544008807808,0.4215887114869562,-0.01115080549470572,0.21289641070680146,0.013785716896872954
functional,AD+FTD->AD,o_max,Max O-info,198,-0.0706933109494763,0.3223287862400446,-0.14007714502464672,0.35157277965960176,0.14117994220173685
functional,AD+FTD->AD,o_min,Min O-info,104,-0.5582216093504863,7.421618033569694e-10,-0.14662689971891776,0.5709182896078091,0.021578624980290402
functional,AD+FTD->FTD,o_max,Max O-info,560,0.37001857650607745,1.3018701203135365e-19,0.011237696103075666,0.4170972447591171,0.0011944383959949293
functional,AD+FTD->FTD,o_min,Min O-info,85,-0.3452143390382925,0.001213539636077989,-0.07795644180490932,0.4510216155564403,0.023263200277100538
