bag,condition,objective,best_rung,best_rung_label,best_r2,n_models
functional,Pooled,o_min,xgb_tree_d3,d3,0.47906894550828594,560
functional,Pooled,o_max,xgb_tree_d3,d3,0.46835437280591896,560
functional,CN->CN,o_min,xgb_tree_d3,d3,0.4626141330480209,560
functional,CN->CN,o_max,ols,OLS,0.4526358328569676,560
functional,AD->AD,o_min,ols,OLS,0.4684023461934062,560
functional,AD->AD,o_max,ols,OLS,0.4788020484470705,560
functional,AD->FTD,o_min,xgb_tree_d3,d3,0.3531074269490378,560
functional,AD->FTD,o_max,xgb_tree_d3,d3,0.3561393355312852,560
functional,FTD->FTD,o_min,ols,OLS,0.4642640077921476,560
functional,FTD->FTD,o_max,ols,OLS,0.4583678047632427,560
functional,FTD->AD,o_min,ols,OLS,0.3251361527356698,560
functional,FTD->AD,o_max,xgb_tree_d2,d2,0.2729719756880072,560
functional,AD+FTD->AD,o_min,ols,OLS,0.4806273698676588,560
functional,AD+FTD->AD,o_max,ols,OLS,0.4886431326436805,560
functional,AD+FTD->FTD,o_min,ols,OLS,0.4487972780039493,560
functional,AD+FTD->FTD,o_max,xgb_tree_d1,d1,0.4524914131059736,560
structural,Pooled,o_min,xgb_tree_d3,d3,0.26727931442597974,560
structural,Pooled,o_max,xgb_tree_d3,d3,0.27055189615611996,560
structural,CN->CN,o_min,ols,OLS,0.2273496738900383,560
structural,CN->CN,o_max,xgb_tree_d1,d1,0.227528004622375,560
structural,AD->AD,o_min,ols,OLS,0.2709230257325024,560
structural,AD->AD,o_max,xgb_tree_d2,d2,0.1881576517386148,560
structural,AD->FTD,o_min,xgb_tree_d3,d3,0.3261429396540775,560
structural,AD->FTD,o_max,xgb_tree_d3,d3,0.3154290914978863,560
structural,FTD->FTD,o_min,xgb_tree_d1,d1,0.3328950724499748,560
structural,FTD->FTD,o_max,ols,OLS,0.3467350055014342,560
structural,FTD->AD,o_min,xgb_tree_d1,d1,0.2506369232406513,560
structural,FTD->AD,o_max,ols,OLS,0.2053362455552292,560
structural,AD+FTD->AD,o_min,ols,OLS,0.2634406873309605,560
structural,AD+FTD->AD,o_max,xgb_tree_d1,d1,0.1961324065246803,560
structural,AD+FTD->FTD,o_min,xgb_tree_d2,d2,0.3438228336382246,560
structural,AD+FTD->FTD,o_max,ols,OLS,0.3422531347992424,560
