condition,model_level,objective,candidate_id,r2,baseline_r2
Pooled,OLS,o_max,m000015_o_max_ord3_rk00016,0.431220000494668,0.4356486069738752
Pooled,OLS,o_max,m000002_o_max_ord3_rk00003,0.426784513282653,0.4356486069738752
Pooled,OLS,o_max,m000006_o_max_ord3_rk00007,0.4263328863226924,0.4356486069738752
Pooled,OLS,o_max,m000003_o_max_ord3_rk00004,0.4249093545124668,0.4356486069738752
Pooled,OLS,o_max,m000014_o_max_ord3_rk00015,0.4244838675238811,0.4356486069738752
Pooled,OLS,o_max,m002016_o_max_ord5_rk00017,0.4232675947632867,0.4356486069738752
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,0.4232546941719053,0.4356486069738752
Pooled,OLS,o_max,m001014_o_max_ord4_rk00015,0.4222710436319469,0.4356486069738752
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,0.4214235609181253,0.4356486069738752
Pooled,OLS,o_max,m001016_o_max_ord4_rk00017,0.42102367197563884,0.4356486069738752
Pooled,OLS,o_max,m001003_o_max_ord4_rk00004,0.42075041501548305,0.4356486069738752
Pooled,OLS,o_max,m000018_o_max_ord3_rk00019,0.4203856182638571,0.4356486069738752
Pooled,OLS,o_max,m000004_o_max_ord3_rk00005,0.4195995628600456,0.4356486069738752
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,0.41939867826233956,0.4356486069738752
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,0.41913532444040313,0.4356486069738752
Pooled,OLS,o_max,m000012_o_max_ord3_rk00013,0.4183791868301434,0.4356486069738752
Pooled,OLS,o_max,m000008_o_max_ord3_rk00009,0.41768956530859125,0.4356486069738752
Pooled,OLS,o_max,m000010_o_max_ord3_rk00011,0.4174036466274874,0.4356486069738752
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,0.4171703375261695,0.4356486069738752
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,0.4154525484413155,0.4356486069738752
Pooled,OLS,o_min,m050526_o_min_ord6_rk00012,0.43299704937131556,0.4356486069738752
Pooled,OLS,o_min,m049528_o_min_ord5_rk00014,0.42853578482823185,0.4356486069738752
Pooled,OLS,o_min,m050523_o_min_ord6_rk00009,0.42684245887230765,0.4356486069738752
Pooled,OLS,o_min,m047524_o_min_ord3_rk00010,0.42577750235083234,0.4356486069738752
Pooled,OLS,o_min,m047533_o_min_ord3_rk00019,0.42400446194939556,0.4356486069738752
Pooled,OLS,o_min,m049518_o_min_ord5_rk00004,0.4228587132548228,0.4356486069738752
Pooled,OLS,o_min,m049523_o_min_ord5_rk00009,0.42258545200006836,0.4356486069738752
Pooled,OLS,o_min,m049522_o_min_ord5_rk00008,0.4222779790906802,0.4356486069738752
Pooled,OLS,o_min,m047522_o_min_ord3_rk00008,0.4195443484437015,0.4356486069738752
Pooled,OLS,o_min,m048515_o_min_ord4_rk00001,0.41745488545040876,0.4356486069738752
Pooled,OLS,o_min,m047527_o_min_ord3_rk00013,0.41158227651343304,0.4356486069738752
Pooled,OLS,o_min,m047518_o_min_ord3_rk00004,0.410760524010335,0.4356486069738752
Pooled,OLS,o_min,m047516_o_min_ord3_rk00002,0.4106726688061638,0.4356486069738752
Pooled,OLS,o_min,m047521_o_min_ord3_rk00007,0.41050179809196485,0.4356486069738752
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,0.40302798533010975,0.4356486069738752
Pooled,OLS,o_min,m049519_o_min_ord5_rk00005,0.4027736553376964,0.4356486069738752
Pooled,OLS,o_min,m047523_o_min_ord3_rk00009,0.4020565276625464,0.4356486069738752
Pooled,OLS,o_min,m047534_o_min_ord3_rk00020,0.401947574338547,0.4356486069738752
Pooled,OLS,o_min,m047525_o_min_ord3_rk00011,0.3989759669384668,0.4356486069738752
