condition,model_level,objective,candidate_id,order
Pooled,OLS,o_max,m000015_o_max_ord3_rk00016,3
Pooled,OLS,o_max,m000002_o_max_ord3_rk00003,3
Pooled,OLS,o_max,m000006_o_max_ord3_rk00007,3
Pooled,OLS,o_max,m000003_o_max_ord3_rk00004,3
Pooled,OLS,o_max,m000014_o_max_ord3_rk00015,3
Pooled,OLS,o_max,m002016_o_max_ord5_rk00017,5
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,3
Pooled,OLS,o_max,m001014_o_max_ord4_rk00015,4
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,3
Pooled,OLS,o_max,m001016_o_max_ord4_rk00017,4
Pooled,OLS,o_max,m001003_o_max_ord4_rk00004,4
Pooled,OLS,o_max,m000018_o_max_ord3_rk00019,3
Pooled,OLS,o_max,m000004_o_max_ord3_rk00005,3
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,3
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,3
Pooled,OLS,o_max,m000012_o_max_ord3_rk00013,3
Pooled,OLS,o_max,m000008_o_max_ord3_rk00009,3
Pooled,OLS,o_max,m000010_o_max_ord3_rk00011,3
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,4
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,3
Pooled,OLS,o_min,m050526_o_min_ord6_rk00012,6
Pooled,OLS,o_min,m049528_o_min_ord5_rk00014,5
Pooled,OLS,o_min,m050523_o_min_ord6_rk00009,6
Pooled,OLS,o_min,m047524_o_min_ord3_rk00010,3
Pooled,OLS,o_min,m047533_o_min_ord3_rk00019,3
Pooled,OLS,o_min,m049518_o_min_ord5_rk00004,5
Pooled,OLS,o_min,m049523_o_min_ord5_rk00009,5
Pooled,OLS,o_min,m049522_o_min_ord5_rk00008,5
Pooled,OLS,o_min,m047522_o_min_ord3_rk00008,3
Pooled,OLS,o_min,m048515_o_min_ord4_rk00001,4
Pooled,OLS,o_min,m047527_o_min_ord3_rk00013,3
Pooled,OLS,o_min,m047518_o_min_ord3_rk00004,3
Pooled,OLS,o_min,m047516_o_min_ord3_rk00002,3
Pooled,OLS,o_min,m047521_o_min_ord3_rk00007,3
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,7
Pooled,OLS,o_min,m049519_o_min_ord5_rk00005,5
Pooled,OLS,o_min,m047523_o_min_ord3_rk00009,3
Pooled,OLS,o_min,m047534_o_min_ord3_rk00020,3
Pooled,OLS,o_min,m047525_o_min_ord3_rk00011,3
Pooled,OLS,o_min,m050520_o_min_ord6_rk00006,6
Pooled,d1,o_max,m003016_o_max_ord6_rk00017,6
Pooled,d1,o_max,m006005_o_max_ord9_rk00006,9
Pooled,d1,o_max,m001000_o_max_ord4_rk00001,4
Pooled,d1,o_max,m001006_o_max_ord4_rk00007,4
Pooled,d1,o_max,m002011_o_max_ord5_rk00012,5
Pooled,d1,o_max,m000002_o_max_ord3_rk00003,3
Pooled,d1,o_max,m000011_o_max_ord3_rk00012,3
Pooled,d1,o_max,m000000_o_max_ord3_rk00001,3
Pooled,d1,o_max,m003009_o_max_ord6_rk00010,6
Pooled,d1,o_max,m005004_o_max_ord8_rk00005,8
Pooled,d1,o_max,m001002_o_max_ord4_rk00003,4
Pooled,d1,o_max,m004008_o_max_ord7_rk00009,7
Pooled,d1,o_max,m001008_o_max_ord4_rk00009,4
Pooled,d1,o_max,m005001_o_max_ord8_rk00002,8
Pooled,d1,o_max,m013012_o_max_ord16_rk00013,16
Pooled,d1,o_max,m005014_o_max_ord8_rk00015,8
