condition,model_level,single_r2,single_feature
Pooled,OLS,0.4466711121222795,free_parties_est
Pooled,d1,0.4429582062713171,free_relig_est
Pooled,d2,0.4620305233607507,basic_welf_est
Pooled,d3,0.4678379169351816,basic_welf_est
CN->CN,OLS,0.4415968840687448,mean_temp_o
CN->CN,d1,0.4372814228754091,inclu_suff_est
CN->CN,d2,0.4462522555598373,free_relig_est
CN->CN,d3,0.4497054955904075,cred_elect_est
AD->AD,OLS,0.4879865210046337,free_parties_est
AD->AD,d1,0.4434052817703493,civil_lib_est
AD->AD,d2,0.458281313960502,civil_lib_est
AD->AD,d3,0.4546495737389453,HDI
AD->FTD,OLS,0.2856759024839819,scpdsi_o
AD->FTD,d1,0.3078725670809512,econ_equal_est
AD->FTD,d2,0.3018562333232675,econ_equal_est
AD->FTD,d3,0.3229266301403216,civil_soc_est
FTD->FTD,OLS,0.4621929952680293,free_press_est
FTD->FTD,d1,0.4002858413973614,deaths_trans
FTD->FTD,d2,0.3969131895051612,deaths_trans
FTD->FTD,d3,0.3949466088929454,deaths_trans
FTD->AD,OLS,0.3202847010261647,Green area per capita (m2/person)
FTD->AD,d1,0.2859980731332859,deaths_trans
FTD->AD,d2,0.3158780367139528,deaths_trans
FTD->AD,d3,0.294391575067303,deaths_trans
AD+FTD->AD,OLS,0.4923146324894579,pol_equal_est
AD+FTD->AD,d1,0.4419320532542993,free_parties_est
AD+FTD->AD,d2,0.4407920194857488,free_parties_est
AD+FTD->AD,d3,0.4386342216960802,HDI
AD+FTD->FTD,OLS,0.4677305726524557,agri_emp_o
AD+FTD->FTD,d1,0.4438257452538546,effect_parl_est
AD+FTD->FTD,d2,0.4322635239965954,GII
AD+FTD->FTD,d3,0.4272280235160164,agri_emp_o
