condition,model_level,objective,candidate_id,n_triplets,n_synergistic_triplets,pct_synergistic_triplets,exposome_baseline_pct
Pooled,OLS,o_max,m000015_o_max_ord3_rk00016,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000002_o_max_ord3_rk00003,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000006_o_max_ord3_rk00007,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000003_o_max_ord3_rk00004,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000014_o_max_ord3_rk00015,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m002016_o_max_ord5_rk00017,10,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001014_o_max_ord4_rk00015,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001016_o_max_ord4_rk00017,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001003_o_max_ord4_rk00004,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000018_o_max_ord3_rk00019,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000004_o_max_ord3_rk00005,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000012_o_max_ord3_rk00013,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000008_o_max_ord3_rk00009,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000010_o_max_ord3_rk00011,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,1,0,0.0,33.23008738133011
Pooled,OLS,o_min,m050526_o_min_ord6_rk00012,20,6,30.0,33.23008738133011
Pooled,OLS,o_min,m049528_o_min_ord5_rk00014,10,5,50.0,33.23008738133011
Pooled,OLS,o_min,m050523_o_min_ord6_rk00009,20,6,30.0,33.23008738133011
Pooled,OLS,o_min,m047524_o_min_ord3_rk00010,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047533_o_min_ord3_rk00019,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m049518_o_min_ord5_rk00004,10,7,70.0,33.23008738133011
Pooled,OLS,o_min,m049523_o_min_ord5_rk00009,10,5,50.0,33.23008738133011
Pooled,OLS,o_min,m049522_o_min_ord5_rk00008,10,5,50.0,33.23008738133011
Pooled,OLS,o_min,m047522_o_min_ord3_rk00008,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m048515_o_min_ord4_rk00001,4,3,75.0,33.23008738133011
Pooled,OLS,o_min,m047527_o_min_ord3_rk00013,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047518_o_min_ord3_rk00004,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047516_o_min_ord3_rk00002,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047521_o_min_ord3_rk00007,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,35,18,51.42857142857143,33.23008738133011
Pooled,OLS,o_min,m049519_o_min_ord5_rk00005,10,8,80.0,33.23008738133011
Pooled,OLS,o_min,m047523_o_min_ord3_rk00009,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047534_o_min_ord3_rk00020,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m047525_o_min_ord3_rk00011,1,1,100.0,33.23008738133011
Pooled,OLS,o_min,m050520_o_min_ord6_rk00006,20,12,60.0,33.23008738133011
Pooled,d1,o_max,m003016_o_max_ord6_rk00017,20,0,0.0,33.23008738133011
Pooled,d1,o_max,m006005_o_max_ord9_rk00006,84,0,0.0,33.23008738133011
Pooled,d1,o_max,m001000_o_max_ord4_rk00001,4,0,0.0,33.23008738133011
Pooled,d1,o_max,m001006_o_max_ord4_rk00007,4,0,0.0,33.23008738133011
Pooled,d1,o_max,m002011_o_max_ord5_rk00012,10,0,0.0,33.23008738133011
Pooled,d1,o_max,m000002_o_max_ord3_rk00003,1,0,0.0,33.23008738133011
