condition,model_level,objective,candidate_id,r2,baseline_r2
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,0.21519267107926165,0.21830556511390897
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,0.2140058267683731,0.21830556511390897
Pooled,OLS,o_max,m001015_o_max_ord4_rk00016,0.21221983041444825,0.21830556511390897
Pooled,OLS,o_max,m001004_o_max_ord4_rk00005,0.21068487049676476,0.21830556511390897
Pooled,OLS,o_max,m001001_o_max_ord4_rk00002,0.21044053743374824,0.21830556511390897
Pooled,OLS,o_max,m001008_o_max_ord4_rk00009,0.2090838172592736,0.21830556511390897
Pooled,OLS,o_max,m000016_o_max_ord3_rk00017,0.2090212330264294,0.21830556511390897
Pooled,OLS,o_max,m001013_o_max_ord4_rk00014,0.20862398161588003,0.21830556511390897
Pooled,OLS,o_max,m001002_o_max_ord4_rk00003,0.20580367204915073,0.21830556511390897
Pooled,OLS,o_max,m001011_o_max_ord4_rk00012,0.2050529329719989,0.21830556511390897
Pooled,OLS,o_max,m001009_o_max_ord4_rk00010,0.20201968897062128,0.21830556511390897
Pooled,OLS,o_max,m002003_o_max_ord5_rk00004,0.201860289891174,0.21830556511390897
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,0.2016731889889477,0.21830556511390897
Pooled,OLS,o_max,m000005_o_max_ord3_rk00006,0.20102214541539387,0.21830556511390897
Pooled,OLS,o_max,m002010_o_max_ord5_rk00011,0.20039318176282384,0.21830556511390897
Pooled,OLS,o_max,m002004_o_max_ord5_rk00005,0.20006977936954107,0.21830556511390897
Pooled,OLS,o_max,m000013_o_max_ord3_rk00014,0.19973203276440943,0.21830556511390897
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,0.19954217798808938,0.21830556511390897
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,0.19832711464154484,0.21830556511390897
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,0.19657672064301634,0.21830556511390897
Pooled,OLS,o_min,m048517_o_min_ord4_rk00003,0.25107703395707104,0.21830556511390897
Pooled,OLS,o_min,m048520_o_min_ord4_rk00006,0.2499963921983156,0.21830556511390897
Pooled,OLS,o_min,m048525_o_min_ord4_rk00011,0.24803682215661627,0.21830556511390897
Pooled,OLS,o_min,m048518_o_min_ord4_rk00004,0.24701722649799174,0.21830556511390897
Pooled,OLS,o_min,m048527_o_min_ord4_rk00013,0.24503425645344667,0.21830556511390897
Pooled,OLS,o_min,m048528_o_min_ord4_rk00014,0.24185344524990848,0.21830556511390897
Pooled,OLS,o_min,m049517_o_min_ord5_rk00003,0.24173738274558698,0.21830556511390897
Pooled,OLS,o_min,m048523_o_min_ord4_rk00009,0.240850881231773,0.21830556511390897
Pooled,OLS,o_min,m048530_o_min_ord4_rk00016,0.240787969758135,0.21830556511390897
Pooled,OLS,o_min,m049534_o_min_ord5_rk00020,0.2399538658550885,0.21830556511390897
Pooled,OLS,o_min,m049521_o_min_ord5_rk00007,0.2397614625257931,0.21830556511390897
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,0.23757545705609318,0.21830556511390897
Pooled,OLS,o_min,m050524_o_min_ord6_rk00010,0.2374804067571149,0.21830556511390897
Pooled,OLS,o_min,m049527_o_min_ord5_rk00013,0.23571259352951346,0.21830556511390897
Pooled,OLS,o_min,m050515_o_min_ord6_rk00001,0.222411486295519,0.21830556511390897
Pooled,OLS,o_min,m051529_o_min_ord7_rk00015,0.21804778785503143,0.21830556511390897
Pooled,OLS,o_min,m054515_o_min_ord10_rk00001,0.21743615269256444,0.21830556511390897
Pooled,OLS,o_min,m051526_o_min_ord7_rk00012,0.2159934733919573,0.21830556511390897
Pooled,OLS,o_min,m047517_o_min_ord3_rk00003,0.21400611550900905,0.21830556511390897
Pooled,OLS,o_min,m048521_o_min_ord4_rk00007,0.2116510822527562,0.21830556511390897
Pooled,d1,o_max,m021019_o_max_ord24_rk00020,0.24327311964998388,0.23712987345457692
Pooled,d1,o_max,m019004_o_max_ord22_rk00005,0.24216822969571639,0.23712987345457692
Pooled,d1,o_max,m013003_o_max_ord16_rk00004,0.24168710761170187,0.23712987345457692
Pooled,d1,o_max,m019000_o_max_ord22_rk00001,0.24148275736144675,0.23712987345457692
Pooled,d1,o_max,m018000_o_max_ord21_rk00001,0.24145212211845601,0.23712987345457692
Pooled,d1,o_max,m020004_o_max_ord23_rk00005,0.24143881386586585,0.23712987345457692
Pooled,d1,o_max,m018006_o_max_ord21_rk00007,0.24143766376884246,0.23712987345457692
Pooled,d1,o_max,m015000_o_max_ord18_rk00001,0.24139391392040854,0.23712987345457692
Pooled,d1,o_max,m026018_o_max_ord29_rk00019,0.24090474345931168,0.23712987345457692
Pooled,d1,o_max,m016000_o_max_ord19_rk00001,0.24082315481876138,0.23712987345457692
Pooled,d1,o_max,m020000_o_max_ord23_rk00001,0.24069941475399037,0.23712987345457692
Pooled,d1,o_max,m020007_o_max_ord23_rk00008,0.24066051607651529,0.23712987345457692
Pooled,d1,o_max,m014000_o_max_ord17_rk00001,0.24048178275708376,0.23712987345457692
Pooled,d1,o_max,m019014_o_max_ord22_rk00015,0.2403905504012145,0.23712987345457692
Pooled,d1,o_max,m017011_o_max_ord20_rk00012,0.2402350754079472,0.23712987345457692
Pooled,d1,o_max,m018004_o_max_ord21_rk00005,0.24015463992950714,0.23712987345457692
Pooled,d1,o_max,m020002_o_max_ord23_rk00003,0.2401364850526626,0.23712987345457692
Pooled,d1,o_max,m018015_o_max_ord21_rk00016,0.2399847202099008,0.23712987345457692
Pooled,d1,o_max,m026003_o_max_ord29_rk00004,0.23998415023829345,0.23712987345457692
Pooled,d1,o_max,m017018_o_max_ord20_rk00019,0.2394894200261546,0.23712987345457692
Pooled,d1,o_min,m048534_o_min_ord4_rk00020,0.24712458621769784,0.23712987345457692
Pooled,d1,o_min,m048531_o_min_ord4_rk00017,0.24589615933056042,0.23712987345457692
Pooled,d1,o_min,m048522_o_min_ord4_rk00008,0.24487277779614292,0.23712987345457692
Pooled,d1,o_min,m061517_o_min_ord17_rk00003,0.24468121613630422,0.23712987345457692
Pooled,d1,o_min,m050530_o_min_ord6_rk00016,0.24450524715717836,0.23712987345457692
Pooled,d1,o_min,m061534_o_min_ord17_rk00020,0.24432689588990086,0.23712987345457692
Pooled,d1,o_min,m047533_o_min_ord3_rk00019,0.24428719519176323,0.23712987345457692
Pooled,d1,o_min,m059518_o_min_ord15_rk00004,0.24422191364725787,0.23712987345457692
Pooled,d1,o_min,m061522_o_min_ord17_rk00008,0.24415161290639031,0.23712987345457692
Pooled,d1,o_min,m061527_o_min_ord17_rk00013,0.24411211316425674,0.23712987345457692
Pooled,d1,o_min,m053531_o_min_ord9_rk00017,0.24300113619634256,0.23712987345457692
Pooled,d1,o_min,m060524_o_min_ord16_rk00010,0.24286047234713615,0.23712987345457692
