condition,model_level,single_r2,single_feature
Pooled,OLS,0.2303020596862248,maxgtemp_o
Pooled,d1,0.2458599080617255,GII
Pooled,d2,0.2623057318178667,local_dem_est
Pooled,d3,0.2644541771330981,migration
CN->CN,OLS,0.2107802977284502,maxgtemp_o
CN->CN,d1,0.2234826099534493,Sulphur dioxide (SO₂) emissions
CN->CN,d2,0.2183755702438808,Green area per capita (m2/person)
CN->CN,d3,0.2213870430809338,Green area per capita (m2/person)
AD->AD,OLS,0.1806190699648445,mean_temp_areaw_o
AD->AD,d1,0.1921018665669815,mean_temp_o
AD->AD,d2,0.1976630884883017,Electricity_demand (kWh)
AD->AD,d3,0.2007294475219192,mean_temp_o
AD->FTD,OLS,0.2904470787338744,GINI
AD->FTD,d1,0.3095505976100146,Poisoning_mortality_rate
AD->FTD,d2,0.3127481806515889,mean_prec2_o
AD->FTD,d3,0.3154787276142607,pers_integ_sec_est
FTD->FTD,OLS,0.3285248454545891,scpdsi_aw_o
FTD->FTD,d1,0.3299664685575206,GINI
FTD->FTD,d2,0.3226907013195563,GINI
FTD->FTD,d3,0.3192507700925374,GINI
FTD->AD,OLS,0.191454363253598,migration
FTD->AD,d1,0.2248801219013896,GINI
FTD->AD,d2,0.2332311243284365,local_dem_est
FTD->AD,d3,0.2374558510348331,local_dem_est
AD+FTD->AD,OLS,0.2024376776046063,mean_temp_areaw_o
AD+FTD->AD,d1,0.1924430092790918,mean_temp_o
AD+FTD->AD,d2,0.1992855871525995,Electricity_demand (kWh)
AD+FTD->AD,d3,0.2030756730074223,mean_temp_areaw_o
AD+FTD->FTD,OLS,0.3270315564560495,GINI
AD+FTD->FTD,d1,0.3263550689850435,Poisoning_mortality_rate
AD+FTD->FTD,d2,0.3296677875631002,civic_engage_est
AD+FTD->FTD,d3,0.3293665303207435,civic_engage_est
