condition,model_level,objective,candidate_id,n_triplets,n_synergistic_triplets,pct_synergistic_triplets,exposome_baseline_pct
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001015_o_max_ord4_rk00016,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001004_o_max_ord4_rk00005,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001001_o_max_ord4_rk00002,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001008_o_max_ord4_rk00009,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000016_o_max_ord3_rk00017,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001013_o_max_ord4_rk00014,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001002_o_max_ord4_rk00003,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001011_o_max_ord4_rk00012,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001009_o_max_ord4_rk00010,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m002003_o_max_ord5_rk00004,10,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000005_o_max_ord3_rk00006,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m002010_o_max_ord5_rk00011,10,0,0.0,33.23008738133011
Pooled,OLS,o_max,m002004_o_max_ord5_rk00005,10,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000013_o_max_ord3_rk00014,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,4,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,1,0,0.0,33.23008738133011
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,1,0,0.0,33.23008738133011
Pooled,OLS,o_min,m048517_o_min_ord4_rk00003,4,3,75.0,33.23008738133011
Pooled,OLS,o_min,m048520_o_min_ord4_rk00006,4,4,100.0,33.23008738133011
Pooled,OLS,o_min,m048525_o_min_ord4_rk00011,4,4,100.0,33.23008738133011
Pooled,OLS,o_min,m048518_o_min_ord4_rk00004,4,4,100.0,33.23008738133011
Pooled,OLS,o_min,m048527_o_min_ord4_rk00013,4,3,75.0,33.23008738133011
Pooled,OLS,o_min,m048528_o_min_ord4_rk00014,4,4,100.0,33.23008738133011
Pooled,OLS,o_min,m049517_o_min_ord5_rk00003,10,5,50.0,33.23008738133011
Pooled,OLS,o_min,m048523_o_min_ord4_rk00009,4,3,75.0,33.23008738133011
Pooled,OLS,o_min,m048530_o_min_ord4_rk00016,4,3,75.0,33.23008738133011
Pooled,OLS,o_min,m049534_o_min_ord5_rk00020,10,7,70.0,33.23008738133011
Pooled,OLS,o_min,m049521_o_min_ord5_rk00007,10,6,60.0,33.23008738133011
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,35,18,51.42857142857143,33.23008738133011
Pooled,OLS,o_min,m050524_o_min_ord6_rk00010,20,12,60.0,33.23008738133011
Pooled,OLS,o_min,m049527_o_min_ord5_rk00013,10,5,50.0,33.23008738133011
