objective,set_size,omega_min,omega_max
o_max,3,0.2943446847827267,1.1193916608571175
o_max,4,0.9431828830248404,2.0639677769455345
o_max,5,1.8248898725866565,2.995912162689386
o_max,6,2.6977352859115475,3.862227210504964
o_max,7,3.5854640659557067,4.682702509500787
o_max,8,4.423477366493656,5.56566146697962
o_max,9,5.27051944497021,6.4326216207588285
o_max,10,6.094743172438312,7.160373596039872
o_max,11,6.909419635505158,7.812936757875002
o_max,12,7.704609285984997,8.397949020087566
o_max,13,8.369017198325542,9.00934394948117
o_max,14,8.965431473206396,9.59620247239767
o_max,15,9.532950244935677,10.134709592954398
o_max,16,10.081827981860902,10.689427683502224
o_max,17,10.620535004494478,11.30720878519562
o_max,18,11.164301621959996,11.923395085470023
o_max,19,11.71786845856947,12.543400899046205
o_max,20,12.28571310929052,13.147901134299676
o_max,21,12.874055321327749,13.732561478872238
o_max,22,13.428836055890269,14.289631790876296
o_max,23,13.957582646425784,14.803569368571488
o_max,24,14.520561925571691,15.332851747433008
o_max,25,15.083880898574296,15.974490864732136
o_max,26,15.687004121030805,16.61962335890326
o_max,27,16.318426118375562,17.225510527023737
o_max,28,16.932442600953568,17.753639739318192
o_max,29,17.525363599289168,18.264218939230307
o_max,30,18.074275030225053,18.848713704788075
o_min,3,-0.261047778313677,-0.0491546030334922
o_min,4,-0.4862462493924631,-0.1485007238744767
o_min,5,-0.6915116450061096,-0.2532215429744147
o_min,6,-0.8357609945351683,-0.34847508456347
o_min,7,-0.8627331739119364,-0.4263807066515945
o_min,8,-0.8473028194230308,-0.4875698560193164
o_min,9,-0.9436329867002566,-0.5213578238871603
o_min,10,-1.075809399550684,-0.5441273785794594
o_min,11,-1.0742428364322216,-0.5581519771462855
o_min,12,-1.1387538077585493,-0.5598852654924067
o_min,13,-1.0292511434715426,-0.5569193742027978
o_min,14,-0.9806189169012258,-0.5233425635479572
o_min,15,-0.906563704295114,-0.4555638099534844
o_min,16,-0.8241718091716974,-0.3679128519983274
o_min,17,-0.6515818862508134,-0.2540314268071819
o_min,18,-0.4972777005529298,-0.113114537974484
o_min,19,-0.3728401689744975,0.0501865009425692
o_min,20,-0.207642022704352,0.2338825518540304
o_min,21,-0.0138508911291381,0.4330946842693439
o_min,22,0.1811041994587476,0.6527054529094158
o_min,23,0.3838798855387733,0.8842282073132726
o_min,24,0.6495222529949345,1.1254905810504177
o_min,25,0.935984599607659,1.381574385425198
o_min,26,1.2501398316673369,1.6611451553368646
o_min,27,1.6022156838458788,1.9970379587893772
o_min,28,1.9614275382733,2.3704539941968665
o_min,29,2.31648248611474,2.773163051155521
o_min,30,2.7522635919314453,3.19890009509766
