objective,set_size,n_domains_mean,n_domains_minus_1sd,n_domains_plus_1sd
o_min,3,2.471,1.9060584100988849,3.0359415899011153
o_min,4,3.023,2.383882639885287,3.6621173601147134
o_min,5,3.512,2.82946355408667,4.19453644591333
o_min,6,4.033,3.3518898767453242,4.7141101232546765
o_min,7,4.402,3.653403980774677,5.150596019225323
o_min,8,4.741,3.9834255812133037,5.498574418786696
o_min,9,5.056,4.316497464507389,5.795502535492611
o_min,10,5.365,4.580286676549965,6.149713323450036
o_min,11,5.666,4.8619825872532365,6.470017412746764
o_min,12,5.987,5.137982332339309,6.836017667660691
o_min,13,6.365,5.520147941944863,7.209852058055137
o_min,14,6.719,5.878738731107997,7.559261268892004
o_min,15,7.056,6.217630153213989,7.894369846786011
o_min,16,7.268,6.453030061904122,8.082969938095879
o_min,17,7.423,6.6483575018113195,8.197642498188682
o_min,18,7.522,6.771322972244388,8.272677027755613
o_min,19,7.657,6.897163833448289,8.416836166551711
o_min,20,7.81,7.021393634314305,8.598606365685695
o_min,21,7.975,7.171025497916756,8.778974502083244
o_min,22,8.171,7.382483037595258,8.959516962404741
o_min,23,8.398,7.663428015780617,9.132571984219382
o_min,24,8.619,7.999452584542555,9.238547415457445
o_min,25,8.798,8.245554527577609,9.350445472422392
o_min,26,8.92,8.414431013609418,9.425568986390582
o_min,27,9.017,8.506401331768286,9.527598668231713
o_min,28,9.089,8.556948310781744,9.621051689218257
o_min,29,9.194,8.65144677680434,9.736553223195662
o_min,30,9.337,8.797156504160696,9.876843495839303
o_max,3,1.165,0.7316698718067252,1.598330128193275
o_max,4,1.303,0.8391131603505009,1.766886839649499
o_max,5,1.404,0.9133025371983261,1.8946974628016737
o_max,6,1.445,0.9480342064085296,1.9419657935914705
o_max,7,1.497,0.9930248021975685,2.0009751978024317
o_max,8,1.521,1.017453577115277,2.0245464228847228
o_max,9,1.536,1.0372976839837218,2.0347023160162783
o_max,10,1.58,1.049340033543136,2.110659966456864
o_max,11,1.65,1.1119479579074159,2.188052042092584
o_max,12,1.624,1.105710505605217,2.1422894943947832
o_max,13,1.679,1.1575031160208145,2.2004968839791856
o_max,14,1.753,1.203462922088054,2.302537077911946
o_max,15,1.833,1.2610638147485331,2.404936185251467
o_max,16,1.895,1.305105941714955,2.484894058285045
o_max,17,1.984,1.3549181293345038,2.6130818706654964
o_max,18,2.091,1.3805642182434785,2.801435781756522
o_max,19,2.222,1.4482325930875608,2.995767406912439
o_max,20,2.396,1.5212520362984545,3.2707479637015453
o_max,21,2.567,1.5997818239921255,3.534218176007875
o_max,22,2.791,1.729247203912323,3.852752796087677
o_max,23,3.136,1.9864331250423053,4.285566874957695
o_max,24,3.651,2.4530020868131697,4.84899791318683
o_max,25,4.126,2.9972289869065563,5.254771013093444
o_max,26,4.46,3.4215396011402266,5.498460398859773
o_max,27,4.662,3.679271146246331,5.644728853753668
o_max,28,4.854,3.927347961746158,5.780652038253843
o_max,29,5.194,4.302728997442417,6.085271002557583
o_max,30,5.524,4.660620593249989,6.387379406750011
