model_level,objective,candidate_id,order,baseline_r2,best_single_r2
OLS,o_min,m048517_o_min_ord4_rk00003,4.0,0.21830556511390897,
OLS,o_min,m048520_o_min_ord4_rk00006,4.0,0.21830556511390897,
OLS,o_min,m048525_o_min_ord4_rk00011,4.0,0.21830556511390897,
OLS,o_min,m048518_o_min_ord4_rk00004,4.0,0.21830556511390897,
OLS,o_min,m048527_o_min_ord4_rk00013,4.0,0.21830556511390897,
OLS,o_min,m048528_o_min_ord4_rk00014,4.0,0.21830556511390897,
OLS,o_min,m049517_o_min_ord5_rk00003,5.0,0.21830556511390897,
OLS,o_min,m048523_o_min_ord4_rk00009,4.0,0.21830556511390897,
OLS,o_min,m048530_o_min_ord4_rk00016,4.0,0.21830556511390897,
OLS,o_min,m049534_o_min_ord5_rk00020,5.0,0.21830556511390897,
OLS,o_min,m049521_o_min_ord5_rk00007,5.0,0.21830556511390897,
OLS,o_min,m051534_o_min_ord7_rk00020,7.0,0.21830556511390897,
OLS,o_min,m050524_o_min_ord6_rk00010,6.0,0.21830556511390897,
OLS,o_min,m049527_o_min_ord5_rk00013,5.0,0.21830556511390897,
OLS,o_min,m050515_o_min_ord6_rk00001,6.0,0.21830556511390897,
OLS,o_min,m051529_o_min_ord7_rk00015,7.0,0.21830556511390897,
OLS,o_min,m054515_o_min_ord10_rk00001,10.0,0.21830556511390897,
OLS,o_min,m051526_o_min_ord7_rk00012,7.0,0.21830556511390897,
OLS,o_min,m047517_o_min_ord3_rk00003,3.0,0.21830556511390897,
OLS,o_min,m048521_o_min_ord4_rk00007,4.0,0.21830556511390897,
OLS,o_min,m051519_o_min_ord7_rk00005,7.0,0.21830556511390897,
OLS,o_min,m052523_o_min_ord8_rk00009,8.0,0.21830556511390897,
OLS,o_min,m052526_o_min_ord8_rk00012,8.0,0.21830556511390897,
OLS,o_min,m053516_o_min_ord9_rk00002,9.0,0.21830556511390897,
OLS,o_min,m052527_o_min_ord8_rk00013,8.0,0.21830556511390897,
OLS,o_min,m049524_o_min_ord5_rk00010,5.0,0.21830556511390897,
OLS,o_min,m049522_o_min_ord5_rk00008,5.0,0.21830556511390897,
OLS,o_min,m050534_o_min_ord6_rk00020,6.0,0.21830556511390897,
OLS,o_min,m047525_o_min_ord3_rk00011,3.0,0.21830556511390897,
OLS,o_min,m049515_o_min_ord5_rk00001,5.0,0.21830556511390897,
OLS,o_min,m051516_o_min_ord7_rk00002,7.0,0.21830556511390897,
OLS,o_min,m049530_o_min_ord5_rk00016,5.0,0.21830556511390897,
OLS,o_min,m048515_o_min_ord4_rk00001,4.0,0.21830556511390897,
OLS,o_min,m047533_o_min_ord3_rk00019,3.0,0.21830556511390897,
OLS,o_min,m049533_o_min_ord5_rk00019,5.0,0.21830556511390897,
OLS,o_min,m056530_o_min_ord12_rk00016,12.0,0.21830556511390897,
OLS,o_min,m049531_o_min_ord5_rk00017,5.0,0.21830556511390897,
OLS,o_min,m048529_o_min_ord4_rk00015,4.0,0.21830556511390897,
OLS,o_min,m048532_o_min_ord4_rk00018,4.0,0.21830556511390897,
OLS,o_min,m052525_o_min_ord8_rk00011,8.0,0.21830556511390897,
OLS,o_min,m050533_o_min_ord6_rk00019,6.0,0.21830556511390897,
OLS,o_min,m049518_o_min_ord5_rk00004,5.0,0.21830556511390897,
OLS,o_min,m047524_o_min_ord3_rk00010,3.0,0.21830556511390897,
OLS,o_min,m049525_o_min_ord5_rk00011,5.0,0.21830556511390897,
OLS,o_min,m055532_o_min_ord11_rk00018,11.0,0.21830556511390897,
OLS,o_min,m048516_o_min_ord4_rk00002,4.0,0.21830556511390897,
OLS,o_min,m051533_o_min_ord7_rk00019,7.0,0.21830556511390897,
OLS,o_min,m049516_o_min_ord5_rk00002,5.0,0.21830556511390897,
OLS,o_min,m050531_o_min_ord6_rk00017,6.0,0.21830556511390897,
OLS,o_min,m054533_o_min_ord10_rk00019,10.0,0.21830556511390897,
OLS,o_max,m000000_o_max_ord3_rk00001,3.0,0.21830556511390897,
OLS,o_max,m000017_o_max_ord3_rk00018,3.0,0.21830556511390897,
OLS,o_max,m001015_o_max_ord4_rk00016,4.0,0.21830556511390897,
OLS,o_max,m001004_o_max_ord4_rk00005,4.0,0.21830556511390897,
OLS,o_max,m001001_o_max_ord4_rk00002,4.0,0.21830556511390897,
OLS,o_max,m001008_o_max_ord4_rk00009,4.0,0.21830556511390897,
OLS,o_max,m000016_o_max_ord3_rk00017,3.0,0.21830556511390897,
OLS,o_max,m001013_o_max_ord4_rk00014,4.0,0.21830556511390897,
OLS,o_max,m001002_o_max_ord4_rk00003,4.0,0.21830556511390897,
OLS,o_max,m001011_o_max_ord4_rk00012,4.0,0.21830556511390897,
OLS,o_max,m001009_o_max_ord4_rk00010,4.0,0.21830556511390897,
OLS,o_max,m002003_o_max_ord5_rk00004,5.0,0.21830556511390897,
OLS,o_max,m000019_o_max_ord3_rk00020,3.0,0.21830556511390897,
OLS,o_max,m000005_o_max_ord3_rk00006,3.0,0.21830556511390897,
