model_level,objective,candidate_id,order,baseline_r2,best_single_r2
OLS,o_min,m050526_o_min_ord6_rk00012,6.0,0.4356486069738752,
OLS,o_min,m049528_o_min_ord5_rk00014,5.0,0.4356486069738752,
OLS,o_min,m050523_o_min_ord6_rk00009,6.0,0.4356486069738752,
OLS,o_min,m047524_o_min_ord3_rk00010,3.0,0.4356486069738752,
OLS,o_min,m047533_o_min_ord3_rk00019,3.0,0.4356486069738752,
OLS,o_min,m049518_o_min_ord5_rk00004,5.0,0.4356486069738752,
OLS,o_min,m049523_o_min_ord5_rk00009,5.0,0.4356486069738752,
OLS,o_min,m049522_o_min_ord5_rk00008,5.0,0.4356486069738752,
OLS,o_min,m047522_o_min_ord3_rk00008,3.0,0.4356486069738752,
OLS,o_min,m048515_o_min_ord4_rk00001,4.0,0.4356486069738752,
OLS,o_min,m047527_o_min_ord3_rk00013,3.0,0.4356486069738752,
OLS,o_min,m047518_o_min_ord3_rk00004,3.0,0.4356486069738752,
OLS,o_min,m047516_o_min_ord3_rk00002,3.0,0.4356486069738752,
OLS,o_min,m047521_o_min_ord3_rk00007,3.0,0.4356486069738752,
OLS,o_min,m051534_o_min_ord7_rk00020,7.0,0.4356486069738752,
OLS,o_min,m049519_o_min_ord5_rk00005,5.0,0.4356486069738752,
OLS,o_min,m047523_o_min_ord3_rk00009,3.0,0.4356486069738752,
OLS,o_min,m047534_o_min_ord3_rk00020,3.0,0.4356486069738752,
OLS,o_min,m047525_o_min_ord3_rk00011,3.0,0.4356486069738752,
OLS,o_min,m050520_o_min_ord6_rk00006,6.0,0.4356486069738752,
OLS,o_min,m051526_o_min_ord7_rk00012,7.0,0.4356486069738752,
OLS,o_min,m048529_o_min_ord4_rk00015,4.0,0.4356486069738752,
OLS,o_min,m050524_o_min_ord6_rk00010,6.0,0.4356486069738752,
OLS,o_min,m050522_o_min_ord6_rk00008,6.0,0.4356486069738752,
OLS,o_min,m052515_o_min_ord8_rk00001,8.0,0.4356486069738752,
OLS,o_min,m047532_o_min_ord3_rk00018,3.0,0.4356486069738752,
OLS,o_min,m049525_o_min_ord5_rk00011,5.0,0.4356486069738752,
OLS,o_min,m050534_o_min_ord6_rk00020,6.0,0.4356486069738752,
OLS,o_min,m049526_o_min_ord5_rk00012,5.0,0.4356486069738752,
OLS,o_min,m049527_o_min_ord5_rk00013,5.0,0.4356486069738752,
OLS,o_min,m050533_o_min_ord6_rk00019,6.0,0.4356486069738752,
OLS,o_min,m049515_o_min_ord5_rk00001,5.0,0.4356486069738752,
OLS,o_min,m052525_o_min_ord8_rk00011,8.0,0.4356486069738752,
OLS,o_min,m049534_o_min_ord5_rk00020,5.0,0.4356486069738752,
OLS,o_min,m047517_o_min_ord3_rk00003,3.0,0.4356486069738752,
OLS,o_min,m048532_o_min_ord4_rk00018,4.0,0.4356486069738752,
OLS,o_min,m050525_o_min_ord6_rk00011,6.0,0.4356486069738752,
OLS,o_min,m047529_o_min_ord3_rk00015,3.0,0.4356486069738752,
OLS,o_min,m049533_o_min_ord5_rk00019,5.0,0.4356486069738752,
OLS,o_min,m051529_o_min_ord7_rk00015,7.0,0.4356486069738752,
OLS,o_min,m051517_o_min_ord7_rk00003,7.0,0.4356486069738752,
OLS,o_min,m050519_o_min_ord6_rk00005,6.0,0.4356486069738752,
OLS,o_min,m053520_o_min_ord9_rk00006,9.0,0.4356486069738752,
OLS,o_min,m052528_o_min_ord8_rk00014,8.0,0.4356486069738752,
OLS,o_min,m052522_o_min_ord8_rk00008,8.0,0.4356486069738752,
OLS,o_min,m052517_o_min_ord8_rk00003,8.0,0.4356486069738752,
OLS,o_min,m050515_o_min_ord6_rk00001,6.0,0.4356486069738752,
OLS,o_min,m053533_o_min_ord9_rk00019,9.0,0.4356486069738752,
OLS,o_min,m052520_o_min_ord8_rk00006,8.0,0.4356486069738752,
OLS,o_min,m050521_o_min_ord6_rk00007,6.0,0.4356486069738752,
OLS,o_max,m000015_o_max_ord3_rk00016,3.0,0.4356486069738752,
OLS,o_max,m000002_o_max_ord3_rk00003,3.0,0.4356486069738752,
OLS,o_max,m000006_o_max_ord3_rk00007,3.0,0.4356486069738752,
OLS,o_max,m000003_o_max_ord3_rk00004,3.0,0.4356486069738752,
