objective,rung,model_id,order,global_oof_r2,shannon_h,n_domains,dominant_domain
o_min,xgb_tree_d3,m047515_o_min_ord3_rk00001,3,0.374690776265992,0.9182958340544896,2,Air Pollution
o_min,xgb_tree_d3,m047516_o_min_ord3_rk00002,3,0.45897667222817584,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047517_o_min_ord3_rk00003,3,0.42928121179947765,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m047518_o_min_ord3_rk00004,3,0.4548956189666845,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047519_o_min_ord3_rk00005,3,0.40667048809204376,0.9182958340544896,2,Air Pollution
o_min,xgb_tree_d3,m047520_o_min_ord3_rk00006,3,0.4071445423534187,-0.0,1,Air Pollution
o_min,xgb_tree_d3,m047521_o_min_ord3_rk00007,3,0.4643457454344351,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047522_o_min_ord3_rk00008,3,0.44350142403734305,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047523_o_min_ord3_rk00009,3,0.40712870213437435,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m047524_o_min_ord3_rk00010,3,0.44654103836445747,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047525_o_min_ord3_rk00011,3,0.44669708811473563,0.9182958340544896,2,Temperature
o_min,xgb_tree_d3,m047526_o_min_ord3_rk00012,3,0.3927534250705884,0.9182958340544896,2,Air Pollution
o_min,xgb_tree_d3,m047527_o_min_ord3_rk00013,3,0.45632240333965945,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047528_o_min_ord3_rk00014,3,0.4062253603050292,0.9182958340544896,2,Air Pollution
o_min,xgb_tree_d3,m047529_o_min_ord3_rk00015,3,0.39190904342211463,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m047530_o_min_ord3_rk00016,3,0.4229227201170761,0.9182958340544896,2,Democracy
o_min,xgb_tree_d3,m047531_o_min_ord3_rk00017,3,0.36304013556293313,0.9182958340544896,2,Air Pollution
o_min,xgb_tree_d3,m047532_o_min_ord3_rk00018,3,0.4143245799171824,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m047533_o_min_ord3_rk00019,3,0.420808074658533,0.9182958340544896,2,Socioeconomic
o_min,xgb_tree_d3,m047534_o_min_ord3_rk00020,3,0.4300313967161914,1.584962500721156,3,Air Pollution
o_min,xgb_tree_d3,m048515_o_min_ord4_rk00001,4,0.4047065444664306,1.0,2,Air Pollution
o_min,xgb_tree_d3,m048516_o_min_ord4_rk00002,4,0.4222705811178269,1.5,3,Air Pollution
o_min,xgb_tree_d3,m048517_o_min_ord4_rk00003,4,0.4218089689470431,1.5,3,Air Pollution
o_min,xgb_tree_d3,m048518_o_min_ord4_rk00004,4,0.4290407743201704,1.5,3,Air Pollution
o_min,xgb_tree_d3,m048519_o_min_ord4_rk00005,4,0.42620551248078575,1.5,3,Socioeconomic
