objective,objective_label,country,diagnosis_label,median_residual,n_subjects
o_max,Redundancy arm,Germany,AD,-2.7701844543683736,104
o_max,Redundancy arm,Germany,HC,0.811089761090332,334
o_max,Redundancy arm,Germany,,-3.602879689659546,89
o_max,Redundancy arm,Turkey,AD,-4.645327991502045,54
o_max,Redundancy arm,Turkey,HC,-0.7252782924244388,88
o_max,Redundancy arm,Brazil,AD,-3.461746553302185,38
o_max,Redundancy arm,Brazil,HC,0.8255584234519042,788
o_max,Redundancy arm,Brazil,FTLD,-1.5319366449487308,29
o_max,Redundancy arm,United States,AD,-3.707050207610108,331
o_max,Redundancy arm,United States,HC,0.7691758371138917,1653
o_max,Redundancy arm,United States,FTLD,-0.0195104973300779,399
o_max,Redundancy arm,United States,,2.08270256010199,358
o_max,Redundancy arm,Spain,HC,-1.0308890504477273,403
o_max,Redundancy arm,India,AD,0.8800682586859283,31
o_max,Redundancy arm,India,HC,-1.9273909407272953,66
o_max,Redundancy arm,India,FTLD,0.8116104290979003,30
o_max,Redundancy arm,India,,1.629179323346428,18
o_max,Redundancy arm,Chile,AD,-2.161857508652435,174
o_max,Redundancy arm,Chile,HC,0.012988573532684351,272
o_max,Redundancy arm,Chile,FTLD,-1.4696179172146602,64
o_max,Redundancy arm,Chile,,1.5515726836803743,72
o_max,Redundancy arm,Austria,AD,2.394855984659668,15
o_max,Redundancy arm,Austria,HC,0.1981759751016847,71
o_max,Redundancy arm,Austria,,2.2328045471830675,18
o_max,Redundancy arm,Australia,AD,2.7494364544541012,724
o_max,Redundancy arm,Australia,HC,-0.1553536174179686,347
o_max,Redundancy arm,Australia,FTLD,-0.41340344364604176,196
o_max,Redundancy arm,Australia,,1.6228607612063906,116
o_max,Redundancy arm,Ireland,AD,-2.132814203688355,9
o_max,Redundancy arm,Ireland,HC,0.9829591833460691,20
o_max,Redundancy arm,Ireland,,-3.2999730775107423,11
o_max,Redundancy arm,Argentina,AD,-1.029464246185547,113
o_max,Redundancy arm,Argentina,HC,-0.1503644808652038,131
o_max,Redundancy arm,Argentina,FTLD,-1.726163825347336,47
o_max,Redundancy arm,Canada,AD,-0.33107888386164097,4
o_max,Redundancy arm,Canada,HC,0.8476362094248047,395
o_max,Redundancy arm,Canada,,-2.4061179407139894,4
o_max,Redundancy arm,China,HC,0.4216773890875245,846
o_max,Redundancy arm,Mexico,AD,1.480222505722908,63
o_max,Redundancy arm,Mexico,HC,-0.14129789207263194,176
