fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.218477210906079,0.1746767218931481,0.2491731169524215,0.2214762032836947
Australia,top20_red,0.057256265675982,0.0130980091567832,0.0854439005276987,0.1212852973640841
Austria,top20_red,0.1804280428162417,0.1328574698402299,0.2579730504318523,0.2188610440934533
Brazil,top20_red,-0.0325487756532243,-0.05116574167988,-0.0217094184525148,-0.0511806388381652
Canada,top20_red,0.1612184293730934,0.1479344472505889,0.1647399998677498,0.163219256283769
Chile,top20_red,0.3373451355511704,0.2978416780272812,0.3595312504873501,0.3754138962538161
China,top20_red,0.1323380700079685,-0.005737714426983,0.1656596121763903,0.1083359347695998
Colombia,top20_red,0.2199948174025674,0.2126033768263052,0.2298892668587969,0.2376478603511205
Germany,top20_red,0.077594039483027,0.0069142288305434,0.1523326953369872,0.1384414274666707
India,top20_red,0.1432090192465699,0.1231521943661406,0.1528969749072984,0.1478150770949861
Ireland,top20_red,0.4194791487281299,0.3773910159144803,0.4804160834312169,0.4243669245198416
Japan,top20_red,0.1398809771641559,0.1058069265527797,0.145550563792581,0.1312311446786629
Mexico,top20_red,0.1172406302247028,0.0584971193590058,0.1244286893430819,0.136071625593505
Netherlands,top20_red,0.1163116152444091,0.04823994417513,0.2827061277743052,0.1935922195092421
Peru,top20_red,0.2934513394693235,0.278410881106422,0.3066482470511439,0.3067138949031863
South Africa,top20_red,0.0194989316687889,-0.026766873113831,0.0334551204490717,0.000873789116243
Spain,top20_red,-0.1146776558005362,-0.219376553391001,-0.0932421392769047,-0.1498258788443638
Sweden,top20_red,0.3550014009370431,0.3477889064562131,0.358228622289646,0.3532301220672836
Switzerland,top20_red,0.0323190934247049,-0.016618600763083,0.1282280048152932,0.1054312622427807
Turkey,top20_red,0.1362774466869172,-0.0125171197433768,0.2909792317266506,0.187587501735868
United Kingdom,top20_red,0.2593865925038858,0.0807313735643229,0.2607994680414838,0.2406929387911854
United States,top20_red,0.3558624419652251,0.3246863944549356,0.3615503080729211,0.3377727509752668
Argentina,top20_syn,0.2143129982012597,0.1267520887041205,0.2370394466658081,0.2214762032836947
Australia,top20_syn,0.2487347831762872,0.0953588842774292,0.2672779275522127,0.1212852973640841
Austria,top20_syn,0.2343130648668944,0.156133494362715,0.3216269954908827,0.2188610440934533
Brazil,top20_syn,-0.0623501579683222,-0.1013815042000372,-0.0266605534534827,-0.0511806388381652
Canada,top20_syn,0.1662097473625731,0.1392881011951926,0.171864614072796,0.163219256283769
Chile,top20_syn,0.3907362207937194,0.3799649496030156,0.4029691144118232,0.3754138962538161
China,top20_syn,0.1222249500984992,-0.1880994130234283,0.1793578458484698,0.1083359347695998
Colombia,top20_syn,0.2454764743057548,0.130818915623083,0.2629078404011723,0.2376478603511205
Germany,top20_syn,0.1894681779751158,0.1582202490310715,0.2206531959614888,0.1384414274666707
India,top20_syn,0.1306475897427363,-0.0181712298695493,0.16033090388325,0.1478150770949861
Ireland,top20_syn,0.4892476697613711,0.0930222255710294,0.5010565972363716,0.4243669245198416
Japan,top20_syn,0.1371265829170147,0.024370228176729,0.1428342277674711,0.1312311446786629
Mexico,top20_syn,0.128731283501445,0.0683678612089722,0.1370882426322188,0.136071625593505
Netherlands,top20_syn,0.3449809397849944,0.2403953357177618,0.3604601178004563,0.1935922195092421
Peru,top20_syn,0.2962169977310381,0.1676223887739484,0.3007444078109318,0.3067138949031863
South Africa,top20_syn,0.0281794501110555,-0.4466292247797088,0.037321428697597,0.000873789116243
Spain,top20_syn,-0.0945337871141346,-0.4072126910619589,-0.039855954162179,-0.1498258788443638
Sweden,top20_syn,0.3397728055968266,0.3235042455091682,0.3558315772859617,0.3532301220672836
Switzerland,top20_syn,0.1213894314236153,-0.2298524210397559,0.1492781438597769,0.1054312622427807
Turkey,top20_syn,0.2594954599383122,0.1452824379283909,0.3026152114704737,0.187587501735868
United Kingdom,top20_syn,0.2470147190490403,0.2315800479764586,0.2643426201855362,0.2406929387911854
United States,top20_syn,0.3610172952685747,0.3053830739495369,0.3765595738309133,0.3377727509752668
