fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.3060402261773388,0.2940625013983506,0.3184995265509838,0.309369928221007
Australia,top20_red,0.1888628798748295,0.1753446873056048,0.2189903814850032,0.1871802626364694
Austria,top20_red,0.3176848927654284,0.2911422397677081,0.3384921170117951,0.2781481955529618
Brazil,top20_red,0.0537885187082938,0.0474141451665562,0.0662311633461606,-0.0710927836479451
Canada,top20_red,0.1440839111454359,0.1377441158738241,0.1475257272197345,0.1321623194887261
Chile,top20_red,0.4798908777506784,0.44202679046765,0.497600321797222,0.4413369319541971
China,top20_red,0.1621239974177212,0.1418698141166741,0.1735045892529003,0.1386687016864335
Colombia,top20_red,0.2861282495057942,0.2795435681971787,0.2973417204169689,0.2748758339876445
Germany,top20_red,0.2516138550550454,0.2217025917834867,0.2648721181949722,0.2193419049438985
India,top20_red,0.1967306084484018,0.1730317716240071,0.207071218762787,0.2027460308883043
Ireland,top20_red,0.5165182524556056,0.4887600399613557,0.5394745931322401,0.5275902815067671
Japan,top20_red,0.1302341485244132,0.1167815010727721,0.1422613144975284,0.1314499839658396
Mexico,top20_red,0.1822343361071258,0.1596122790156054,0.1960359247389762,0.1902458211325012
Netherlands,top20_red,0.4239863641306713,0.3945776524828555,0.4394543073628741,0.4248132968093623
Peru,top20_red,0.3082798873498649,0.255453454921658,0.3417097609564468,0.3529082545891946
South Africa,top20_red,-0.0546135401424674,-0.0634997767805172,-0.0210693107871533,-0.0331803765821097
Spain,top20_red,0.0058719896722279,-0.0088977252037427,0.0251447591927659,-0.0239429444435292
Sweden,top20_red,0.3210423276626077,0.2943161072120953,0.3520844316895218,0.3380950107147743
Switzerland,top20_red,0.1054621952165308,0.0268134429342846,0.1356821258693323,0.0855500611637316
Turkey,top20_red,0.1009045753583682,0.0192723926403931,0.1597762187843087,0.1577823698145075
United Kingdom,top20_red,0.2904389235397875,0.2824668858422734,0.2989839465075661,0.3030343328040126
United States,top20_red,0.3274194029660524,0.3152799644765214,0.3405278310658718,0.2990948898037922
Argentina,top20_syn,0.3055044925224183,0.2893019685216619,0.3201587597785205,0.309369928221007
Australia,top20_syn,0.2095434977821882,0.1915871507156656,0.2496594411991799,0.1871802626364694
Austria,top20_syn,0.3118816817716129,0.292247263250443,0.3483644111507595,0.2781481955529618
Brazil,top20_syn,0.0465570450732786,0.0109298403390482,0.05463623422757,-0.0710927836479451
Canada,top20_syn,0.1412218057668204,0.1279277480938351,0.1570013058536861,0.1321623194887261
Chile,top20_syn,0.4709555069618907,0.4552501716024221,0.4987630168471292,0.4413369319541971
China,top20_syn,0.1593701503044876,0.1171425309737408,0.1745761377247929,0.1386687016864335
Colombia,top20_syn,0.2727325415226497,0.2618316825545215,0.2952869392759198,0.2748758339876445
Germany,top20_syn,0.258196337672082,0.2500771920453309,0.2674374937525337,0.2193419049438985
India,top20_syn,0.1911605685875007,0.0943590855806997,0.2060751897813657,0.2027460308883043
Ireland,top20_syn,0.5124804509760242,0.4836928556882813,0.5393828568473262,0.5275902815067671
Japan,top20_syn,0.1384347933550422,0.1142856844063239,0.1511168766476104,0.1314499839658396
Mexico,top20_syn,0.1887761205196024,0.1796125411617856,0.1968654005371869,0.1902458211325012
Netherlands,top20_syn,0.4241119056897194,0.4010954523614686,0.4475198719092845,0.4248132968093623
Peru,top20_syn,0.3664266395804499,0.308949639297308,0.3951991726827862,0.3529082545891946
South Africa,top20_syn,-0.0233882802638386,-0.0717575471314846,0.0289374063504065,-0.0331803765821097
Spain,top20_syn,-0.0051134982999374,-0.0242174278239626,0.0047242766883274,-0.0239429444435292
Sweden,top20_syn,0.3289374797547316,0.3124326280677195,0.3442434884213958,0.3380950107147743
Switzerland,top20_syn,0.0740625115683557,0.0147354788992732,0.1507248301021914,0.0855500611637316
Turkey,top20_syn,0.1716370783263089,0.139492622873659,0.2369942506242152,0.1577823698145075
United Kingdom,top20_syn,0.2886725655624118,0.2810249486529752,0.2960530247687792,0.3030343328040126
United States,top20_syn,0.3343692047317387,0.3084407531101079,0.3450249668694861,0.2990948898037922
