fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.3062665029563471,0.266841146606144,0.3379161887787879,0.297609624487484
America Northern,top20_red,0.2691798692446129,0.2613469933961143,0.2796627564618924,0.2660543254682113
America South,top20_red,0.260727762113234,0.23116026910499,0.2687422830655722,0.211050103602711
Asia East,top20_red,0.1592231691989635,0.1389514978839695,0.1884274514727868,0.147569326151924
Asia South,top20_red,0.179088557525937,0.1492821842994184,0.1952942162333629,0.1904001369362168
Europe North/Western,top20_red,0.2326238952352305,0.2006896849257812,0.2802876910310506,0.2395642241662345
Europe Southern,top20_red,0.038896973763295,-0.0136404289667726,0.0559236925819845,0.0399782292405651
Oceania,top20_red,0.1848773278105092,0.1667024113364043,0.2116475650737351,0.1493232820878386
Southern Africa,top20_red,-0.0619248598607412,-0.1450727980608557,-0.0264443020738471,-0.0639263331196726
America Central,top20_syn,0.3454974941630783,0.3112474823134026,0.366330764463322,0.297609624487484
America Northern,top20_syn,0.2759055879142863,0.2663264496076061,0.2835390626985181,0.2660543254682113
America South,top20_syn,0.2631216046898927,0.2512432046144762,0.2706863667663075,0.211050103602711
Asia East,top20_syn,0.1902753475660023,0.1424358518569155,0.20868856845044,0.147569326151924
Asia South,top20_syn,0.1868661548025904,0.1225087632222696,0.1965110641282914,0.1904001369362168
Europe North/Western,top20_syn,0.2731935863598671,0.2463465253051566,0.2962954068461019,0.2395642241662345
Europe Southern,top20_syn,0.0784542757888158,0.0388980577922427,0.0967547244868268,0.0399782292405651
Oceania,top20_syn,0.2122291723824902,0.179515360842663,0.2390587821789042,0.1493232820878386
Southern Africa,top20_syn,-0.0145663045250893,-0.0657147347194049,0.0486165602119114,-0.0639263331196726
