fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.28721790263536,0.1868789321118674,0.4104927859373465,0.3710587721436316
Australia,top20_red,0.5969819442298603,0.5683221947391023,0.6190971422448617,0.5471937188321205
Brazil,top20_red,0.0965016150427811,0.0690834968828679,0.1552831036350409,0.1627058001059741
Canada,top20_red,0.4593989698872248,0.4401359356330384,0.4632321399099116,0.458292394772506
Chile,top20_red,0.4376307539754457,0.4193441454222553,0.4502884907886079,0.4125808875661494
China,top20_red,0.3652599526582844,0.2050369753730734,0.4933918029829522,0.4217318250624738
Colombia,top20_red,0.2285319534307662,0.1686131601070514,0.2429665017392488,0.2453934485402663
Germany,top20_red,0.753963072498196,0.6069804897658071,0.774283649770227,0.7269165935224082
India,top20_red,0.2058768558037038,0.1379874144650966,0.2416527010295808,0.1832081492880288
Ireland,top20_red,-0.0343326127518159,-0.7495520074671562,0.3472719882545202,-0.1162866643895788
Japan,top20_red,0.5025601004006405,0.4387148063595015,0.505119610287597,0.5070238224385877
Mexico,top20_red,0.0610540231489714,0.0082778702989095,0.121520919437484,-0.0561019822488528
Spain,top20_red,-0.2363398870163239,-0.3357741788440043,-0.1488016248099175,-0.1687918754358366
Turkey,top20_red,0.4257084174201134,0.2782050755775522,0.4770604861603446,0.4512879444989865
United Kingdom,top20_red,0.6749188378164861,0.6085231759177071,0.6859912589974955,0.680675485123851
United States,top20_red,0.556664120406466,0.5077486543330566,0.5633168372938886,0.5792482004168551
Argentina,top20_syn,0.413134626367575,0.2788495981239429,0.4376627084776415,0.3710587721436316
Australia,top20_syn,0.5923899314230154,0.478055493606954,0.6296376746111914,0.5471937188321205
Brazil,top20_syn,0.138993819742424,0.10826262104109,0.1670094169851665,0.1627058001059741
Canada,top20_syn,0.4583193308598518,0.4069318677042417,0.4760753389853794,0.458292394772506
Chile,top20_syn,0.3997258654346382,0.3670942437234694,0.4615258177236786,0.4125808875661494
China,top20_syn,0.3827051067182361,0.0627799724170434,0.4726812873806771,0.4217318250624738
Colombia,top20_syn,0.2364425084745187,0.1587007521881576,0.2516250703923546,0.2453934485402663
Germany,top20_syn,0.7238610052016372,0.6875726100023202,0.7767803488113303,0.7269165935224082
India,top20_syn,0.2291864971010942,0.0275830775758575,0.257778452983886,0.1832081492880288
Ireland,top20_syn,-0.1029827245911745,-0.7995395553998201,0.1499714531998208,-0.1162866643895788
Japan,top20_syn,0.4951378650613457,0.162810757678359,0.5070183653626743,0.5070238224385877
Mexico,top20_syn,0.015400991703025,-0.1171206682962322,0.2783993407623953,-0.0561019822488528
Spain,top20_syn,-0.2349847286752351,-0.8381103157209018,-0.1919310306002351,-0.1687918754358366
Turkey,top20_syn,0.4004662472110764,0.0709580346607541,0.4910371356777181,0.4512879444989865
United Kingdom,top20_syn,0.6746357998597529,0.620712431332824,0.686187290674511,0.680675485123851
United States,top20_syn,0.551034049983643,0.4215136239736209,0.5862629843992126,0.5792482004168551
