fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.4676249471273639,0.4098605292604105,0.4978615534892492,0.4863588509792828
Australia,top20_red,0.658114970207288,0.6377436681892656,0.6860913350145186,0.6286002150848272
Brazil,top20_red,0.1230074712301561,0.02657448772322,0.1987732573530384,-0.1137006015544321
Canada,top20_red,0.4242974435167289,0.4147129875267927,0.4642485751686455,0.4142579744245148
Chile,top20_red,0.4988780914216396,0.4507184144439625,0.5121558233790474,0.4443175310587929
China,top20_red,0.50036507377309,0.4684306171341001,0.5125900578851357,0.5337308236720362
Colombia,top20_red,0.2341672584684152,0.1794056345540838,0.2658575680645637,0.2600572543201674
Germany,top20_red,0.6138863065914539,0.342833114754238,0.7015354231318098,0.7067505214671476
India,top20_red,0.2508608592891072,0.2186135387600409,0.2761394410916428,0.2156595513605322
Ireland,top20_red,0.4177614571307222,0.2704865523761232,0.4756095002319351,0.0630361691500811
Japan,top20_red,0.4647513956893641,0.3993800496195928,0.4939227816872713,0.4880623640580691
Mexico,top20_red,-0.1144065114043747,-0.2079865265818661,-0.0595134884797496,-0.0152745039094932
Spain,top20_red,-0.1210292017871454,-0.2570085246789522,-0.0278068608151396,-0.0322715727428006
Turkey,top20_red,0.350848093600088,0.220926422223553,0.5080747400690889,0.4070502374545568
United Kingdom,top20_red,0.6402003704702199,0.6275693916481409,0.6583697944020794,0.6362151331710821
United States,top20_red,0.5564132365893375,0.5369703273203975,0.5761987032311331,0.5185786367575493
Argentina,top20_syn,0.5164142373928815,0.4674590344347272,0.5959116879604882,0.4863588509792828
Australia,top20_syn,0.6375472418805594,0.5623886208972788,0.6950486866324289,0.6286002150848272
Brazil,top20_syn,0.1619451122941521,0.0893045534116901,0.1895603767673043,-0.1137006015544321
Canada,top20_syn,0.4223755457523859,0.3822716775538276,0.451761572170218,0.4142579744245148
Chile,top20_syn,0.4129556457208225,0.296055383258101,0.4971580148775836,0.4443175310587929
China,top20_syn,0.5289421442908085,0.4623507588686583,0.5555665445501251,0.5337308236720362
Colombia,top20_syn,0.2482154790677207,0.220922370392806,0.2724480931751785,0.2600572543201674
Germany,top20_syn,0.7008564469399751,0.5157768698462037,0.7109407446527257,0.7067505214671476
India,top20_syn,0.2347892065362053,0.203282505379285,0.2893649027920427,0.2156595513605322
Ireland,top20_syn,0.296227412643641,-0.3954178602986085,0.4325699851297736,0.0630361691500811
Japan,top20_syn,0.4944526007647249,0.407534927105845,0.5058356819587878,0.4880623640580691
Mexico,top20_syn,0.1467907369268709,0.0144854799449251,0.2604934127033955,-0.0152745039094932
Spain,top20_syn,-0.1044684302068539,-0.3379125685251007,0.001708648663383,-0.0322715727428006
Turkey,top20_syn,0.478029971515937,0.3276446680376755,0.4944848681419718,0.4070502374545568
United Kingdom,top20_syn,0.6538336441891218,0.5938828874214293,0.6646136719058724,0.6362151331710821
United States,top20_syn,0.5506823487181052,0.5289531874503104,0.5811917161493537,0.5185786367575493
