fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.1995105875705644,0.173759852663454,0.2584329299270642,0.2635345378058533
America Northern,top20_red,0.5358853374730256,0.5183143884236856,0.5388991613560508,0.5399721253402381
America South,top20_red,0.2282446098027106,0.2173737104781726,0.2485712453025986,0.2445271499507101
Asia East,top20_red,0.4859455297088418,0.4676816356018878,0.508202832973979,0.4724492826520214
Asia South,top20_red,0.2604001454111849,0.2428663028940638,0.2683638219372541,0.2500147508036958
Europe North/Western,top20_red,0.6046188533287169,0.5352252817083729,0.6168390531031729,0.599265252211133
Europe Southern,top20_red,0.4164782217531229,0.3951441330524144,0.435916010585839,0.426867869812237
Oceania,top20_red,0.5947762203913767,0.5466934437006484,0.6029010489256483,0.577602003498741
America Central,top20_syn,0.2277519993949415,0.1735109999612009,0.2999852141765604,0.2635345378058533
America Northern,top20_syn,0.5425203074016979,0.5327511381320258,0.5526789269526877,0.5399721253402381
America South,top20_syn,0.2477872450428387,0.2389456274872549,0.2559933969151878,0.2445271499507101
Asia East,top20_syn,0.4710600605942251,0.456601304946732,0.5088812638331882,0.4724492826520214
Asia South,top20_syn,0.2436737716347922,0.204090298406802,0.258685758388453,0.2500147508036958
Europe North/Western,top20_syn,0.5874089701145861,0.5442668086829356,0.6110345949782747,0.599265252211133
Europe Southern,top20_syn,0.4133027713268687,0.3906005594962587,0.4555537226304783,0.426867869812237
Oceania,top20_syn,0.5831462095718352,0.5468166525910421,0.614009446796016,0.577602003498741
