fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.2676013955114096,0.2596056155537165,0.2701463280144578,0.2573450746792272
Australia,top20_red,0.1869798617256545,0.1783668170907917,0.1948900506644787,0.2120015435615054
Austria,top20_red,0.3204659222722303,0.3121987627682127,0.3229754063293666,0.3135095364699836
Brazil,top20_red,0.0510780708629599,0.0482853948724458,0.052874223163521,0.0495720876629057
Canada,top20_red,0.1362493839627623,0.1253476707610704,0.1394082709914742,0.1326971156685186
Chile,top20_red,0.4511893433721848,0.4333004378769493,0.4598741138552646,0.4349441557685035
China,top20_red,0.143570714244439,0.1049268745520622,0.1517263179309906,0.129203090932941
Colombia,top20_red,0.2350792536039341,0.2280323130551008,0.2422460077647197,0.2402364282514879
Germany,top20_red,0.2434598129761565,0.2371390587044827,0.2484935974175793,0.2218257317564945
India,top20_red,0.1645404634297507,0.1589087291691909,0.1671552482080057,0.1624656217526799
Ireland,top20_red,0.4934616271047012,0.4627059116368026,0.5066366370265065,0.4856673636493697
Japan,top20_red,0.1400610532635359,0.1335717900268516,0.1475011004244076,0.1385964867951574
Mexico,top20_red,0.1788531788260449,0.1741510834030551,0.1807134888155958,0.184931005881242
Netherlands,top20_red,0.3774392555373224,0.3700950840870817,0.3840897869118769,0.3393065545818232
Peru,top20_red,0.2936574722833162,0.2878077117501495,0.3019867395971186,0.3267937278688445
South Africa,top20_red,-0.0624447349853061,-0.0682140053895146,-0.0233416446181617,-0.0326172057309839
Spain,top20_red,0.0289845150133387,0.0242609901049227,0.0329911311233401,-0.0136264172164293
Sweden,top20_red,0.3431162644012192,0.3030263402624185,0.3536436371817282,0.3264292315076086
Switzerland,top20_red,0.1233086970968653,0.09018482072786,0.1342333484988912,0.0991113481049364
Turkey,top20_red,0.1305665788723111,0.085335231340049,0.1380503484466592,0.1398763127315826
United Kingdom,top20_red,0.2894208396344641,0.2874278084851375,0.2961242096778962,0.2963057235618802
United States,top20_red,0.3027920316544256,0.2963694249477399,0.3155322565871497,0.2713837474272114
Argentina,top20_syn,0.252941201734628,0.2468764488672717,0.2619613003268333,0.2573450746792272
Australia,top20_syn,0.1992889642510716,0.1819891777618508,0.2102032888952979,0.2120015435615054
Austria,top20_syn,0.3151412663045043,0.3098774422030506,0.3214756263030345,0.3135095364699836
Brazil,top20_syn,0.0486492799147115,0.0446992872422693,0.0509010324047787,0.0495720876629057
Canada,top20_syn,0.1389363756146057,0.1236996629207048,0.1473055110716364,0.1326971156685186
Chile,top20_syn,0.4439172243378599,0.4347715346319318,0.4628090488262035,0.4349441557685035
China,top20_syn,0.1511338564670822,0.0700885622517473,0.1639376470438266,0.129203090932941
Colombia,top20_syn,0.2361622362087124,0.2323058834017737,0.2404497415859552,0.2402364282514879
Germany,top20_syn,0.2384297144671388,0.2193504664992502,0.24671927858226,0.2218257317564945
India,top20_syn,0.1618431195772567,0.1556840506634559,0.166906592859609,0.1624656217526799
Ireland,top20_syn,0.4955075895771579,0.4566826974094878,0.5068484214896218,0.4856673636493697
Japan,top20_syn,0.1252585603205423,0.1176728087394469,0.1517347434257516,0.1385964867951574
Mexico,top20_syn,0.179166318044383,0.1771987498285944,0.1829605721479619,0.184931005881242
Netherlands,top20_syn,0.3829841633648042,0.3309793126875344,0.3983067785657792,0.3393065545818232
Peru,top20_syn,0.3072082173730557,0.2754288060372405,0.3486217790809693,0.3267937278688445
South Africa,top20_syn,-0.0290874293189071,-0.0647838099451534,-0.010968636361357,-0.0326172057309839
Spain,top20_syn,0.0144436769802454,-0.0471312643860357,0.0302703543824187,-0.0136264172164293
Sweden,top20_syn,0.3383481600688629,0.2785214657807477,0.3550472355619916,0.3264292315076086
Switzerland,top20_syn,0.080109425962947,0.0257503826433455,0.169289161769141,0.0991113481049364
Turkey,top20_syn,0.1667701141978301,0.1225707869524286,0.2135519999988453,0.1398763127315826
United Kingdom,top20_syn,0.2906553840623781,0.2878602613187098,0.294606652913812,0.2963057235618802
United States,top20_syn,0.3136194033789059,0.290431166381531,0.3203818279237372,0.2713837474272114
