fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.2926979059809304,0.2888311970441216,0.2955578686740039,0.2550244298167382
America Northern,top20_red,0.3040275718725569,0.2988863396781773,0.3045602056979108,0.2971283761705294
America South,top20_red,0.1903106344878417,0.1766505797785448,0.1935238476530032,0.2059740182929729
Asia East,top20_red,0.1803108782309505,0.1561617673787508,0.1909766528735385,0.1720878260318508
Asia South,top20_red,0.1372246459143671,0.1317977098795266,0.1456055446153088,0.140079836185843
Europe North/Western,top20_red,0.2210444630945172,0.1940141153926259,0.2398619135596847,0.2307029033894372
Europe Southern,top20_red,-0.0579329578462488,-0.0711982450959576,-0.0298844098547903,-0.0350765551276872
Oceania,top20_red,0.1483959415754014,0.1252003759454875,0.1633808667501445,0.11850700754665
Southern Africa,top20_red,0.0340851688779839,-0.0061503644144838,0.0366664630889868,-0.0004568669043527
America Central,top20_syn,0.2695348270465818,0.2197353049378581,0.2941203177671241,0.2550244298167382
America Northern,top20_syn,0.2979346572084096,0.2665925900866966,0.3057969154749501,0.2971283761705294
America South,top20_syn,0.2002002321565876,0.1708412407974406,0.2160370027836732,0.2059740182929729
Asia East,top20_syn,0.1615156000240347,0.0573210537106548,0.1855584119175581,0.1720878260318508
Asia South,top20_syn,0.1440098220053789,-0.0039887771555333,0.151861498537405,0.140079836185843
Europe North/Western,top20_syn,0.2248522440581901,0.1923028118140638,0.2568417501022035,0.2307029033894372
Europe Southern,top20_syn,-0.0423431298629469,-0.1074778707884913,0.0817770660349923,-0.0350765551276872
Oceania,top20_syn,0.080694997272835,0.056839063889262,0.2198332987769108,0.11850700754665
Southern Africa,top20_syn,0.0144258904581307,-0.1978946957010674,0.0368227277305935,-0.0004568669043527
