fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.3016373756013127,0.2826915668201161,0.3190506012859224,0.2968222066503458
America Northern,top20_red,0.2792003632367261,0.2756907017572146,0.2822670941487305,0.2712012327401968
America South,top20_red,0.250793853030632,0.2449178695278315,0.2584004725778529,0.2240256024118049
Asia East,top20_red,0.1667885752550996,0.1511846038112527,0.1809590214852391,0.1644170780787406
Asia South,top20_red,0.1919210388458674,0.1606791073285304,0.200266176548852,0.191047904541363
Europe North/Western,top20_red,0.2522305935595036,0.2412645564260489,0.2697177889068848,0.2434166947647055
Europe Southern,top20_red,0.0420802759490954,-0.1039144893748964,0.0804173698631781,0.0760756889735628
Oceania,top20_red,0.2146000441023859,0.2014162299314923,0.2378217496961694,0.1517214545388265
Southern Africa,top20_red,-0.0412016112215559,-0.1243621325311825,-0.0176726693594708,-0.0341307072697405
America Central,top20_syn,0.3322757301098553,0.3049301459754961,0.3465666757782594,0.2968222066503458
America Northern,top20_syn,0.2750100207616756,0.2633257547384565,0.28312977375959,0.2712012327401968
America South,top20_syn,0.2543769406265734,0.2378845009310382,0.2668666375825942,0.2240256024118049
Asia East,top20_syn,0.1728008724401644,0.1537312563621744,0.1977792424150234,0.1644170780787406
Asia South,top20_syn,0.1945484898106851,0.1393803395045192,0.2076900145371063,0.191047904541363
Europe North/Western,top20_syn,0.2766372761922244,0.2406887932947319,0.3044160741818101,0.2434166947647055
Europe Southern,top20_syn,0.0918490094500016,0.0313092643713327,0.1101835624840049,0.0760756889735628
Oceania,top20_syn,0.211957351014619,0.1843197997726543,0.2358471766813021,0.1517214545388265
Southern Africa,top20_syn,-0.0172655627079639,-0.0715131594304292,0.0290036388184142,-0.0341307072697405
