fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.4834587064504857,0.4511619501573675,0.5334465923629925,0.4863588509792828
Australia,top20_red,0.6453790190311492,0.6170191530238538,0.6625383452400366,0.6286002150848272
Brazil,top20_red,0.1468092255847008,0.0989582005555456,0.1761892144283949,-0.1137006015544321
Canada,top20_red,0.4168636267254019,0.3632599172734975,0.4462993267619082,0.4142579744245148
Chile,top20_red,0.4730384499188012,0.4444618982372561,0.5114741188133742,0.4443175310587929
China,top20_red,0.5137340199437489,0.4935278929748423,0.530645210618398,0.5337308236720362
Colombia,top20_red,0.2386610610988798,0.2194899769429052,0.2548086270466152,0.2600572543201674
Germany,top20_red,0.64005932169532,0.4755494781395155,0.7037510778649612,0.7067505214671476
India,top20_red,0.2617822063939977,0.228792259676551,0.3280943530688225,0.2156595513605322
Ireland,top20_red,0.3377784126805501,0.0689341976893889,0.4645900509633809,0.0630361691500811
Japan,top20_red,0.468299984956213,0.4389817464213082,0.4948479588060407,0.4880623640580691
Mexico,top20_red,0.1359005219498341,0.0511699451524052,0.2621167330564385,-0.0152745039094932
Spain,top20_red,-0.0704705965857067,-0.1751876308400997,-0.0315082704099369,-0.0322715727428006
Turkey,top20_red,0.4885364876995817,0.2987812457208811,0.5075737921302599,0.4070502374545568
United Kingdom,top20_red,0.6552633661554046,0.6424291742326744,0.6603710299494787,0.6362151331710821
United States,top20_red,0.5717124871483841,0.5360389114554046,0.5879853874512695,0.5185786367575493
Argentina,top20_syn,0.515855637981544,0.5023748333059692,0.5684743988035375,0.4863588509792828
Australia,top20_syn,0.633902198984041,0.6019800316707709,0.6693326001141781,0.6286002150848272
Brazil,top20_syn,0.166692311147536,0.1394242857066588,0.1892402963649623,-0.1137006015544321
Canada,top20_syn,0.4164971031150456,0.3955500774713766,0.4430738874929489,0.4142579744245148
Chile,top20_syn,0.4482939823468402,0.3528958218013936,0.5055576417200198,0.4443175310587929
China,top20_syn,0.5202862329229099,0.4489919706680934,0.5555665445501251,0.5337308236720362
Colombia,top20_syn,0.2447506700731798,0.2282494770517792,0.2618672888437435,0.2600572543201674
Germany,top20_syn,0.671198476977912,0.6313785462125776,0.7107271253497984,0.7067505214671476
India,top20_syn,0.2269200398870783,0.203282505379285,0.2590423171834162,0.2156595513605322
Ireland,top20_syn,0.2765482131366984,0.0173407331061788,0.4803739408080071,0.0630361691500811
Japan,top20_syn,0.4947091160261525,0.4562872352314886,0.5058356819587878,0.4880623640580691
Mexico,top20_syn,0.1533463583538208,0.0514855910846766,0.2126432431686246,-0.0152745039094932
Spain,top20_syn,-0.0423363179682351,-0.1757031076571664,0.0109966458955051,-0.0322715727428006
Turkey,top20_syn,0.4750434805088596,0.3611738246043087,0.5000825103345494,0.4070502374545568
United Kingdom,top20_syn,0.660493600215198,0.6288126789823948,0.669142888765635,0.6362151331710821
United States,top20_syn,0.5499968383641857,0.5318352061239977,0.5593318063191737,0.5185786367575493
