fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.3136708373477888,0.0541109641424455,0.3351958133187407,0.3227257773559026
America Northern,top20_red,0.6006184820452452,0.5766611372825956,0.619407148906708,0.5988850106014072
America South,top20_red,0.2741989200030135,0.2693761546125364,0.2802486147203913,0.2443873760387362
Asia East,top20_red,0.3999844231229535,0.3512074312743857,0.4321540334526343,0.510896301637492
Asia South,top20_red,0.2644120053200086,0.2352077612738835,0.3186435899586548,0.2400611265905201
Europe North/Western,top20_red,0.5526100171600036,0.4727531529883169,0.6050299955440737,0.6434561200117495
Europe Southern,top20_red,0.4597083497962871,0.404442746876872,0.4722005308975151,0.394462593824206
Oceania,top20_red,0.6294303832466879,0.615264844084958,0.663967207095219,0.6538111210107947
America Central,top20_syn,0.2378582588257305,-0.0114578808680501,0.3874147940892438,0.3227257773559026
America Northern,top20_syn,0.5938551249478083,0.5857017236753004,0.6237212053992072,0.5988850106014072
America South,top20_syn,0.2765843810986252,0.2507768682454392,0.2855491402926781,0.2443873760387362
Asia East,top20_syn,0.5008544376433819,0.4493010081916929,0.5195000052007871,0.510896301637492
Asia South,top20_syn,0.2687716714376688,0.2239682585451821,0.3409872394769173,0.2400611265905201
Europe North/Western,top20_syn,0.6165788782803556,0.5112519336430341,0.6406167486555536,0.6434561200117495
Europe Southern,top20_syn,0.4366067939121232,0.3523969955088376,0.4615523044391091,0.394462593824206
Oceania,top20_syn,0.61823691166414,0.5903815818946392,0.6905736666211495,0.6538111210107947
