fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.3159146668166572,0.2802557039550252,0.3367028254436532,0.297609624487484
America Northern,top20_red,0.2721774252345468,0.2606177106196583,0.2842922673320008,0.2660543254682113
America South,top20_red,0.2593073899312265,0.2446939552436922,0.2682129671572179,0.211050103602711
Asia East,top20_red,0.1636695255526351,0.1512208528452713,0.1884274514727868,0.147569326151924
Asia South,top20_red,0.1701394999075565,0.1393758271338998,0.1878805260015408,0.1904001369362168
Europe North/Western,top20_red,0.242249935395626,0.2240742248627764,0.271066709595839,0.2395642241662345
Europe Southern,top20_red,-0.0039102812348317,-0.0811803621690008,0.0495833159537483,0.0399782292405651
Oceania,top20_red,0.2094237317934212,0.1803716336743337,0.2266624228071171,0.1493232820878386
Southern Africa,top20_red,-0.0425580531669301,-0.1450727980608557,-0.0066140400914582,-0.0639263331196726
America Central,top20_syn,0.3454974941630783,0.3112474823134026,0.366330764463322,0.297609624487484
America Northern,top20_syn,0.2759055879142863,0.2663264496076061,0.2835390626985181,0.2660543254682113
America South,top20_syn,0.2631216046898927,0.2512432046144762,0.2706863667663075,0.211050103602711
Asia East,top20_syn,0.1902753475660023,0.1424358518569155,0.20868856845044,0.147569326151924
Asia South,top20_syn,0.1868661548025904,0.1225087632222696,0.1965110641282914,0.1904001369362168
Europe North/Western,top20_syn,0.2731935863598671,0.2463465253051566,0.2962954068461019,0.2395642241662345
Europe Southern,top20_syn,0.0784542757888158,0.0388980577922427,0.0967547244868268,0.0399782292405651
Oceania,top20_syn,0.2122291723824902,0.179515360842663,0.2390587821789042,0.1493232820878386
Southern Africa,top20_syn,-0.0145663045250893,-0.0657147347194049,0.0486165602119114,-0.0639263331196726
