fold,series,median_r2,min_r2,max_r2,baseline_r2
Argentina,top20_red,0.5135682096739282,0.4962424917441044,0.5538366488255756,0.5028524903263405
Australia,top20_red,0.6631043554642232,0.6443018125032638,0.6861794956223262,0.6164784036489321
Brazil,top20_red,0.1859404680166396,0.1204146795723041,0.2012161419252104,0.1429535018697053
Canada,top20_red,0.4193392362350517,0.4031153969109118,0.4488623729616988,0.4252514972319289
Chile,top20_red,0.5060496249959365,0.4866621962445535,0.5310254640596834,0.4466023791509751
China,top20_red,0.5357128247144946,0.2814423898023301,0.5459236111496737,0.549567348234565
Colombia,top20_red,0.2492686439813579,0.2270618690647213,0.2743098792793041,0.2559967999802814
Germany,top20_red,0.6762546533171401,0.6199747493665917,0.7161906938302258,0.7077125721688992
India,top20_red,0.2584741201119149,0.2023833764632342,0.3104088452476428,0.2077693059508352
Ireland,top20_red,0.3030722510569024,0.0113477117879791,0.4532843235142652,0.1338397163007388
Japan,top20_red,0.4695855907897697,0.3906141268307318,0.5004992154338659,0.4852779530692195
Mexico,top20_red,-0.075249001845537,-0.2744174345858463,0.2713277096163912,-0.0097633785409028
Spain,top20_red,-0.0592513049946037,-0.1715798486706174,-0.0146288728723493,-0.011649305470514
Turkey,top20_red,0.388347515509584,0.3392662424298175,0.4408758117643199,0.3925848882632592
United Kingdom,top20_red,0.6461140158202706,0.6280846676691616,0.6607311521738808,0.6508474541838836
United States,top20_red,0.6007128449991075,0.5810734768801196,0.6287424410859095,0.5649204839219267
Argentina,top20_syn,0.5350272863810766,0.5137833871479969,0.5649550337156569,0.5028524903263405
Australia,top20_syn,0.6243756770145222,0.572506027674076,0.682457968186993,0.6164784036489321
Brazil,top20_syn,0.1790797789663836,0.1480472758405344,0.1989483184459264,0.1429535018697053
Canada,top20_syn,0.424625219806622,0.3687876361167735,0.4512289292518108,0.4252514972319289
Chile,top20_syn,0.4651073212061269,0.3045215942318212,0.5187258913031982,0.4466023791509751
China,top20_syn,0.5299285594492924,0.3338930936625551,0.550277436086945,0.549567348234565
Colombia,top20_syn,0.2403225481242271,0.2334926756737682,0.2820976301066217,0.2559967999802814
Germany,top20_syn,0.7044315319091705,0.6826755368284048,0.7129489263520794,0.7077125721688992
India,top20_syn,0.2704760911275148,0.2226480334258429,0.2995006603406536,0.2077693059508352
Ireland,top20_syn,-0.0872003026981468,-0.9180350346866182,0.1447159428434221,0.1338397163007388
Japan,top20_syn,0.4928579338764887,0.4427165211801817,0.506351071192834,0.4852779530692195
Mexico,top20_syn,0.1513276611339062,0.071208494828062,0.1977636622652563,-0.0097633785409028
Spain,top20_syn,-0.0228583330685161,-0.145034410573476,0.0511160797794102,-0.011649305470514
Turkey,top20_syn,0.49437653003301,0.3804565815218187,0.5054391100444808,0.3925848882632592
United Kingdom,top20_syn,0.6638300681711086,0.6397464860946436,0.6825559346183141,0.6508474541838836
United States,top20_syn,0.5964517247935396,0.5660829368442948,0.6244082416490573,0.5649204839219267
