fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.1265175647899329,0.0948362363612432,0.2309493141226022,0.1930380714250843
America Northern,top20_red,0.5508955226046116,0.5395324857554002,0.5550346961089836,0.5489759749147467
America South,top20_red,0.2303079429482509,0.2211294343059098,0.2367651561709883,0.2339333302547713
Asia East,top20_red,0.5024110576759304,0.4834668880932012,0.5112155382998724,0.489348213963692
Asia South,top20_red,0.1772695014860862,0.1610895443512691,0.1826429189733378,0.1698630294274111
Europe North/Western,top20_red,0.6787624621056818,0.6518850171848605,0.7022834530905877,0.6913798018628383
Europe Southern,top20_red,0.4220631310704847,0.4124942931078819,0.4304878234807348,0.4139971620755669
Oceania,top20_red,0.5692139745735103,0.535582614896632,0.5769663770577174,0.5647163955947997
America Central,top20_syn,0.343688406935276,0.1664423960199454,0.3920748833001595,0.1930380714250843
America Northern,top20_syn,0.5544236026489053,0.5436801681968467,0.55999362984016,0.5489759749147467
America South,top20_syn,0.240060644716862,0.2292010887179492,0.2532179388605426,0.2339333302547713
Asia East,top20_syn,0.4613315253261422,0.4320818942697128,0.5053829816674498,0.489348213963692
Asia South,top20_syn,0.1721145641442847,0.0969101304953032,0.1882633651078845,0.1698630294274111
Europe North/Western,top20_syn,0.6985708593913125,0.6624277932670302,0.7081075907097019,0.6913798018628383
Europe Southern,top20_syn,0.4105348506712732,0.3629628969715669,0.4274372935629403,0.4139971620755669
Oceania,top20_syn,0.5766873598465907,0.565367791543504,0.5844313147208635,0.5647163955947997
