model_level,series,median_r2,min_r2,max_r2,baseline_r2,best_single_exposure_r2,original_complete_best_r2
OLS,best_exhaustive,0.2300688156226529,,,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,best_exhaustive,0.2455063657967822,,,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,best_exhaustive,0.2636056044633441,,,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,best_exhaustive,0.2689191447614167,,,0.2431734726685518,0.2644541771330981,0.2705518961561199
OLS,top20_red,0.22614301698209271,0.2245896074793389,0.2300688156226529,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,top20_red,0.24353857096928366,0.242657882989261,0.2455063657967822,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,top20_red,0.2611315154454294,0.2600883938356054,0.2636056044633441,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,top20_red,0.2645287518987965,0.2637951770173584,0.2689191447614167,0.2431734726685518,0.2644541771330981,0.2705518961561199
OLS,top20_syn,0.213791145357253,0.1995759414132184,0.224758890455786,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,top20_syn,0.2366982642768693,0.2352192523149322,0.2405676118537199,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,top20_syn,0.25776497199967024,0.2518748811430212,0.2629078246073791,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,top20_syn,0.26163274385778124,0.2552115661201715,0.2662925415788748,0.2431734726685518,0.2644541771330981,0.2705518961561199
