model_level,series,median_r2,min_r2,max_r2,baseline_r2,best_single_exposure_r2,original_complete_best_r2
OLS,best_exhaustive,0.4440430765561226,,,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,best_exhaustive,0.4326741273738758,,,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,best_exhaustive,0.4631956041082133,,,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,best_exhaustive,0.4723552505022169,,,0.4441201917999856,0.4678379169351816,0.4790689455082859
OLS,top20_red,0.44237895945426553,0.4416196045516108,0.4431607647535438,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,top20_red,0.4297795157935212,0.4285810372864168,0.4326741273738758,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,top20_red,0.4555625410065523,0.4531024044440827,0.4631956041082133,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,top20_red,0.4674716740868025,0.4652020616679096,0.4723552505022169,0.4441201917999856,0.4678379169351816,0.4790689455082859
OLS,top20_syn,0.4417774494233869,0.4409880902693328,0.4440430765561226,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,top20_syn,0.4227579940925166,0.4209939006885307,0.4260647180879159,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,top20_syn,0.44319964154805586,0.438281226608432,0.455638078726634,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,top20_syn,0.45189167098955363,0.4407942992286372,0.4644253804419518,0.4441201917999856,0.4678379169351816,0.4790689455082859
