model_level,series,median_r2,min_r2,max_r2,baseline_r2,best_single_exposure_r2,original_complete_best_r2
OLS,best_exhaustive,0.236335688198733,,,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,best_exhaustive,0.251744869173956,,,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,best_exhaustive,0.2712500847495833,,,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,best_exhaustive,0.2755856095144334,,,0.2431734726685518,0.2644541771330981,0.2705518961561199
OLS,top20_red,0.2342541549857464,0.2322981056830868,0.2363037151863166,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,top20_red,0.2497138379312008,0.247892733821178,0.251744869173956,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,top20_red,0.2695275491480009,0.268599047063158,0.2712500847495833,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,top20_red,0.27199096705609654,0.2713557098565653,0.2749096008763313,0.2431734726685518,0.2644541771330981,0.2705518961561199
OLS,top20_syn,0.2310046190794256,0.2279800318868133,0.236335688198733,0.2183055651139089,0.2303020596862248,0.251077033957071
d1,top20_syn,0.2465682978176543,0.2460678987973901,0.2512655514609205,0.2371298734545769,0.2458599080617255,0.2471245862176978
d2,top20_syn,0.2668304896416711,0.2661537689770487,0.2683822295215061,0.2369244826572131,0.2623057318178667,0.2649521423681267
d3,top20_syn,0.2696252934164417,0.2683274001915163,0.2755856095144334,0.2431734726685518,0.2644541771330981,0.2705518961561199
