model_level,series,median_r2,min_r2,max_r2,baseline_r2,best_single_exposure_r2,original_complete_best_r2
OLS,best_exhaustive,0.451045937911353,,,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,best_exhaustive,0.4435823139591486,,,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,best_exhaustive,0.4773338534825835,,,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,best_exhaustive,0.4803714048462733,,,0.4441201917999856,0.4678379169351816,0.4790689455082859
OLS,top20_red,0.44785772659041645,0.4472234691241805,0.45071036313814,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,top20_red,0.44168298482216106,0.4409851568007927,0.4433620605582271,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,top20_red,0.469661136952765,0.4688258795375151,0.4773338534825835,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,top20_red,0.47693149934160906,0.4756020765495941,0.4803714048462733,0.4441201917999856,0.4678379169351816,0.4790689455082859
OLS,top20_syn,0.4496763666616659,0.4481435876451337,0.451045937911353,0.4356486069738752,0.4466711121222795,0.4329970493713155
d1,top20_syn,0.44199333841330124,0.4409828483697691,0.4435823139591486,0.4296994627244175,0.4429582062713171,0.4414669738504089
d2,top20_syn,0.4574811911401008,0.4540426627172179,0.4619971025976882,0.4026369100629933,0.4620305233607507,0.4636851369683566
d3,top20_syn,0.4649983896154867,0.463200265701381,0.4743080057923479,0.4441201917999856,0.4678379169351816,0.4790689455082859
