bag,order_cap,rung_id,best_syn_order,best_red_order
functional,5,xgb_tree_d3,5,5
functional,6,xgb_tree_d3,5,6
functional,7,xgb_tree_d3,5,6
functional,8,xgb_tree_d3,5,6
functional,9,xgb_tree_d3,5,6
functional,10,xgb_tree_d3,5,6
functional,11,xgb_tree_d3,5,6
functional,12,xgb_tree_d3,5,6
functional,13,xgb_tree_d3,5,6
functional,14,xgb_tree_d3,5,6
functional,15,xgb_tree_d3,5,6
functional,16,xgb_tree_d3,5,6
functional,17,xgb_tree_d3,5,6
functional,18,xgb_tree_d3,5,6
functional,19,xgb_tree_d3,5,6
functional,20,xgb_tree_d3,5,6
functional,21,xgb_tree_d3,5,6
functional,22,xgb_tree_d3,5,6
functional,23,xgb_tree_d3,5,6
functional,24,xgb_tree_d3,5,6
functional,25,xgb_tree_d3,5,6
functional,26,xgb_tree_d3,26,26
functional,27,xgb_tree_d3,26,26
functional,28,xgb_tree_d3,26,26
functional,29,xgb_tree_d3,26,26
functional,30,xgb_tree_d3,26,26
structural,5,xgb_tree_d3,4,4
structural,6,xgb_tree_d3,4,4
structural,7,xgb_tree_d3,4,4
structural,8,xgb_tree_d3,4,4
structural,9,xgb_tree_d3,4,4
structural,10,xgb_tree_d3,4,10
structural,11,xgb_tree_d3,4,10
structural,12,xgb_tree_d3,4,10
structural,13,xgb_tree_d3,4,10
structural,14,xgb_tree_d3,4,10
structural,15,xgb_tree_d3,4,15
structural,16,xgb_tree_d3,4,15
structural,17,xgb_tree_d3,4,17
structural,18,xgb_tree_d3,4,17
structural,19,xgb_tree_d3,4,17
structural,20,xgb_tree_d3,4,17
structural,21,xgb_tree_d3,4,21
structural,22,xgb_tree_d3,4,21
structural,23,xgb_tree_d3,4,23
structural,24,xgb_tree_d3,4,23
structural,25,xgb_tree_d3,4,23
structural,26,xgb_tree_d3,4,23
structural,27,xgb_tree_d3,4,27
structural,28,xgb_tree_d3,4,28
structural,29,xgb_tree_d3,4,29
structural,30,xgb_tree_d3,4,29
