bag,order_cap,rung_id,beta_h_syn,beta_h_red,beta_interaction,p_h_syn_interaction_cluster_order,p_h_syn_interaction_perm
functional,5,xgb_tree_d3,0.0050272015490707,0.0025136007745354,0.0025136007745353,0.137743408868661,0.5657434256574343
functional,6,xgb_tree_d3,0.005398099022697,0.0026990495113484,0.0026990495113485,0.0007248142831757,0.4117588241175882
functional,7,xgb_tree_d3,0.0086086568609791,0.0043043284304906,0.0043043284304884,0.0006013307830529,0.1087891210878912
functional,8,xgb_tree_d3,0.01085715705269,0.005428578526345,0.0054285785263449,2.2914347638539227e-07,0.0146985301469853
functional,9,xgb_tree_d3,0.0139436472898941,0.006971823644947,0.006971823644947,3.847021320667618e-06,9.999000099990002e-05
functional,10,xgb_tree_d3,0.0147874026030254,-0.0147527639296237,0.0295401665326491,3.943578351012803e-09,9.999000099990002e-05
functional,11,xgb_tree_d3,0.018285849420937,-0.0012823484734712,0.0195681978944083,0.0217854296103743,9.999000099990002e-05
functional,12,xgb_tree_d3,0.0191191926970553,-0.0025547811952064,0.0216739738922618,0.0067653498314792,9.999000099990002e-05
functional,13,xgb_tree_d3,0.0220998775952048,0.0027158371948534,0.0193840404003513,0.0132488013815962,9.999000099990002e-05
functional,14,xgb_tree_d3,0.0234083597940516,-0.0075576990699231,0.0309660588639748,0.005111056041086,9.999000099990002e-05
functional,15,xgb_tree_d3,0.0252684008715529,-0.0181878809849098,0.0434562818564627,0.0004943853605266,9.999000099990002e-05
functional,16,xgb_tree_d3,0.0241319182950739,-0.0029241113037489,0.0270560295988229,0.0242799331830924,9.999000099990002e-05
functional,17,xgb_tree_d3,0.0240736487773651,-0.0001375877878486,0.0242112365652137,0.0025205800110749,9.999000099990002e-05
functional,18,xgb_tree_d3,0.0228248892893619,-0.0008742975632689,0.0236991868526309,8.882266907925704e-05,9.999000099990002e-05
functional,19,xgb_tree_d3,0.0231054772097544,0.0040547634296763,0.0190507137800781,0.0017092375899441,9.999000099990002e-05
functional,20,xgb_tree_d3,0.0228630403912673,0.0052847383564308,0.0175783020348365,1.3278091192164746e-05,9.999000099990002e-05
functional,21,xgb_tree_d3,0.0236910108916237,0.007613504453406,0.0160775064382176,1.3036648493678893e-06,9.999000099990002e-05
functional,22,xgb_tree_d3,0.0234774367749552,0.0105363112405361,0.012941125534419,0.0008070330188513,9.999000099990002e-05
functional,23,xgb_tree_d3,0.0235436422729872,0.0114181113060224,0.0121255309669647,0.0001946302395066,9.999000099990002e-05
functional,24,xgb_tree_d3,0.0234188639557454,0.0121059904704965,0.0113128734852489,0.0003359823131011,9.999000099990002e-05
functional,25,xgb_tree_d3,0.0230546900261832,0.0115084938588198,0.0115461961673634,0.0002057374082925,9.999000099990002e-05
functional,26,xgb_tree_d3,0.0223027428751487,0.0112174341724791,0.0110853087026696,0.0005817966670732,9.999000099990002e-05
functional,27,xgb_tree_d3,0.0218318920943754,0.0123138170490345,0.0095180750453409,0.0074076414529657,9.999000099990002e-05
