model_level,pc_n,global_oof_r2,level_baseline_r2,original_best_model_r2
OLS,1,0.4439538436731409,0.4356486069738752,0.4329970493713155
OLS,2,0.4436543159625977,0.4356486069738752,0.4329970493713155
OLS,3,0.4405918749265857,0.4356486069738752,0.4329970493713155
OLS,4,0.4379665086183961,0.4356486069738752,0.4329970493713155
OLS,5,0.4350414084972873,0.4356486069738752,0.4329970493713155
OLS,6,0.4413149690416545,0.4356486069738752,0.4329970493713155
OLS,7,0.4302667491630192,0.4356486069738752,0.4329970493713155
OLS,8,0.4326342448047433,0.4356486069738752,0.4329970493713155
OLS,9,0.4383552848133814,0.4356486069738752,0.4329970493713155
OLS,10,0.4482405265026137,0.4356486069738752,0.4329970493713155
d1,1,0.4287911446106652,0.4296994627244175,0.4414669738504089
d1,2,0.4230400442309957,0.4296994627244175,0.4414669738504089
d1,3,0.4262517247270069,0.4296994627244175,0.4414669738504089
d1,4,0.4246833063254702,0.4296994627244175,0.4414669738504089
d1,5,0.423982419130633,0.4296994627244175,0.4414669738504089
d1,6,0.4269188485079754,0.4296994627244175,0.4414669738504089
d1,7,0.4331572978842216,0.4296994627244175,0.4414669738504089
d1,8,0.4363041103118134,0.4296994627244175,0.4414669738504089
d1,9,0.4374736623590483,0.4296994627244175,0.4414669738504089
d1,10,0.4367454439676373,0.4296994627244175,0.4414669738504089
d2,1,0.4110249714262125,0.4026369100629933,0.4636851369683566
d2,2,0.371788595041013,0.4026369100629933,0.4636851369683566
d2,3,0.3954197715897043,0.4026369100629933,0.4636851369683566
d2,4,0.4091548274753873,0.4026369100629933,0.4636851369683566
d2,5,0.428634003116965,0.4026369100629933,0.4636851369683566
d2,6,0.4253750198741434,0.4026369100629933,0.4636851369683566
d2,7,0.4381364009261832,0.4026369100629933,0.4636851369683566
d2,8,0.4401010349026854,0.4026369100629933,0.4636851369683566
d2,9,0.4455177633996622,0.4026369100629933,0.4636851369683566
d2,10,0.4524051017482096,0.4026369100629933,0.4636851369683566
d3,1,0.4273457906835485,0.4441201917999856,0.4790689455082859
d3,2,0.4210054035214928,0.4441201917999856,0.4790689455082859
d3,3,0.4409984477132571,0.4441201917999856,0.4790689455082859
d3,4,0.4321827988670248,0.4441201917999856,0.4790689455082859
d3,5,0.4479696782339291,0.4441201917999856,0.4790689455082859
d3,6,0.4433567040945687,0.4441201917999856,0.4790689455082859
d3,7,0.4459094298208081,0.4441201917999856,0.4790689455082859
d3,8,0.4567158544149787,0.4441201917999856,0.4790689455082859
d3,9,0.4583088474774557,0.4441201917999856,0.4790689455082859
d3,10,0.4583872864276076,0.4441201917999856,0.4790689455082859
